"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"WNT16",-1.86083383633719,-1.36114664812698,0.193500467741464,-0.193500467741464,0.762328450844226,0.642147532801135,-0.570244845172611,0.78291288109809
"HECW1",-0.0652139467439282,0.0652139467439285,-0.486266705392557,-0.755336350891403,0.949434184894956,0.918131825674321,-1.91446661844593,0.891426391625995
"MAD1L1",-1.50365338426851,-1.66175800640339,0.493947075539908,-0.458120290382609,1.08491164997533,0.457410200691745,-0.457410200691745,0.482860830647715
"LASP1",2.74871654117183,0.476618624482727,0.116249424993049,0.332046589612327,-0.317760705136225,-0.116249424993049,-0.164940819477035,-0.148690549885966
"SNX11",-0.0342119728164296,0.852558231788662,-0.202851719360857,0.563227856559997,-0.28638505112223,-0.142529798692171,2.70824410149832,0.0342119728164296
"TMEM176A",-1.57554411884756,1.8929459570115,0.47098318516086,0.904039777543045,-0.043240441202919,-0.0593004149300085,0.043240441202919,-0.321221642512524
"M6PR",0.510433504423515,1.30967972455763,-0.510433504423514,0.9403047314457,-1.44062136112927,-0.51733659433732,1.0543522174806,-0.691649766650917
"KLHL13",-2.47805453243843,-1.20964211949293,0.0728061443511608,0.566715690713557,-0.0728061443511608,0.0750397039440307,-0.840800003751393,0.208034504591767
"CYP26B1",-0.624078294787491,0.131243648433239,-0.343207606310186,0.0761031689905837,-0.0761031689905837,1.11920317137902,-1.79242202538281,1.41409552229856
"ICA1",2.38067165018508,-0.149171259104656,-0.29336603039512,-0.240002029951083,0.666530338211953,0.149171259104656,-0.960736172315777,0.594574893882481
"DBNDD1",-1.19082835276655,0.0552170063514966,-0.265433156870997,-0.0552170063514964,0.377481558317864,0.677183515162544,-2.02161848396684,1.02962419866339
"ALS2",-0.730621362531102,1.83893234263269,-1.53022974937387,-0.245337919099719,0.10961014836896,0.49633319134869,-0.10961014836896,0.665530286173799
"CASP10",2.47919154078606,-0.74720270189448,0.267565189230665,0.261383533890909,0.0738942773746269,-0.411693263336529,-0.0738942773746269,-0.463638611918752
"CFLAR",2.41869659904517,0.603186874232161,-0.0505654435740222,0.0505654435740223,-0.400598699623708,-0.370990893998672,0.882545931128692,-0.676757282516503
"TFPI",2.77242242518328,-0.236948756855944,0.0756494120881042,0.00404019237003726,0.0606851773888996,-0.0180217349338497,-0.159509693281285,-0.00404019237003726
"NDUFAF7",0.214717463118283,-0.325289823649293,-2.24248901832322,-0.317926474923852,-0.0757153879607673,0.0757153879607673,1.08823462645972,0.776973933035902
