"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"CFHR4",0,0,0,0,0.0283,0.0253,0.0276,0,0,0,0.0529,0,0,0,0,0,0.0867,0,0,0,0,0,0,0,0.038,0,0
"NAV1",1.5301,4.1551,10.4868,3.0428,7.163,8.3341,9.4784,2.2446,7.8132,18.376,7.5886,2.1172,3.0349,2.7398,2.1985,4.2337,13.3688,5.8891,4.4089,4.3473,16.8261,8.4886,2.7295,8.456,17.8982,6.1928,2.9281
"CDC73",7.4902,9.7557,15.7671,7.0993,15.2197,12.8564,27.7545,9.2708,20.2163,27.4269,20.8398,4.554,7.8848,8.379,6.8971,8.381,19.4881,20.4966,11.2989,9.3305,16.8682,10.6817,9.5,21.4164,32.1486,9.3034,11.0929
"TIMM17A",7.667,11.3702,22.6449,9.3753,22.5199,18.945,28.6712,15.9134,22.4431,29.1017,22.6699,5.4012,10.399,11.9837,8.6261,11.8615,23.0141,25.6816,13.4406,11.2384,24.0182,16.1434,9.6671,24.9669,29.135,12.7796,10.679
"CRB1",0.062,0.104,0.2249,0.0771,0.0605,0.1969,0.1773,0.0557,0.1809,0.2535,0.1337,0.0306,0.0471,0.1429,0.0283,0.0735,0.8887,0.0619,0.0651,0.0659,0.3827,0.0972,0.0937,0.1211,0.3251,0.1022,0.0821
"ERN2",8.472,14.9273,5.3297,5.6194,17.8884,4.0165,4.239,8.7001,0.9017,2.4271,0.5108,0.8808,0.1138,11.2081,3.2433,8.0976,10.8237,0.9825,3.7892,2.7619,9.7879,1.7715,1.9454,0.5237,1.9237,9.3165,8.6838
"RPS15A",8.0532,22.0373,36.445,14.133,26.4282,37.8529,66.5317,31.5386,34.3975,49.274,45.6333,5.9923,22.5313,9.3205,14.7873,20.7859,39.007,35.7849,23.5582,18.9739,35.6706,23.8192,21.2352,37.3341,63.4766,31.4549,16.8205
"RAX",0,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0,0,0.0378,0,0,0,0,0,0,0,0,0,0
"NARS1",35.4816,44.8364,84.106,37.073,83.2025,66.7149,111.4812,51.6638,87.9762,105.9342,97.9649,40.6627,47.6047,34.4955,38.5361,43.0275,96.0527,90.5802,45.8886,47.4742,77.0969,59.0284,41.6505,96.1934,100.6025,65.8894,35.9662
"GRP",0.1308,12.9924,2.1074,2.4423,0.4879,2.3275,0.8731,1.528,2.2147,5.1625,1.3679,3.4912,0.2088,0.6736,0.279,0.9993,3.4073,0.9141,1.2497,2.6153,4.0264,0.6048,0.5828,0.5965,2.0744,0.7194,0.4043
"RELCH",8.2103,13.8766,22.0582,11.0788,21.5564,20.7117,29.8753,12.0199,26.468,28.7512,25.4236,6.1728,9.3122,8.3591,7.3594,15.1322,28.9099,26.8792,12.1121,14.8278,20.0944,18.8323,11.66,29.3319,26.4426,13.546,12.2472
"FBH1",11.3301,19.9588,31.0779,14.4053,29.4606,30.5905,30.7625,14.3477,33.822,38.2384,24.8558,10.2808,13.8516,8.9308,10.5482,18.4641,32.0685,27.5876,18.2872,20.0884,33.5985,25.5558,12.7788,28.9396,34.3998,24.3347,11.6206
"RBM17",11.8795,18.6885,31.9363,16.0533,31.1299,30.615,38.9014,15.8977,34.4037,40.5141,29.6151,9.3386,13.4591,10.8193,10.486,18.0357,32.4306,36.2017,16.9774,20.5373,29.2284,23.9453,14.4812,32.4428,39.7292,20.4704,13.1788
"IL2RA",0.3554,3.95,3.6461,0.8492,3.5168,7.8717,5.2611,1.9412,2.5226,8.9972,2.1304,0.2388,0.4235,0.0976,0.0808,1.6713,8.7411,2.9302,1.7966,2.5377,6.2366,3.1216,0.475,3.5217,2.4201,5.1275,0.0988
"ANKRD16",2.5032,3.8718,4.2876,3.0084,5.2856,4.4411,4.4222,2.1993,5.0067,4.5287,4.0628,1.8555,2.8203,2.1481,2.3288,3.6188,4.5364,4.1797,3.6246,3.628,5.1343,4.297,3.3004,4.308,4.1473,3.7647,2.4457
"ECHDC3",11.5994,11.4751,13.8296,9.4315,13.8112,11.608,8.3513,7.642,6.8913,12.4452,19.8843,10.2667,9.7645,10.7414,8.7031,8.3894,6.3858,18.0708,9.0914,16.4169,10.4648,16.8618,10.4213,16.3758,15.4451,10.7998,9.3592
"IL15RA",5.3484,11.4064,14.7526,6.8558,17.5766,14.7557,10.8543,4.7494,12.3615,12.4508,9.6537,3.095,3.1343,3.5547,2.6227,9.0925,15.7958,19.8952,6.1513,13.1456,11.2071,12.2734,4.1439,11.1684,12.2648,11.32,2.5749
"CCNH",8.3809,19.1271,22.2394,10.4539,21.6222,21.9362,48.7918,13.9591,33.6736,72.3798,32.4811,6.4404,12.906,10.1949,10.0336,12.5284,36.0222,31.7583,14.7383,16.4077,27.4271,18.3712,13.1415,29.2682,52.1496,14.3734,12.8255
"HRH4",0,0.1654,0.1143,0.1786,0.4777,0.1709,0.1865,0.2762,0.1077,0.2141,0.1607,0.0152,0.0818,0.0317,0.0656,0.1429,0.5663,0.1611,0.384,0.0715,0.463,0.0711,0.0514,0.2103,0.6671,0.169,0.0713
"TMEM241",1.6052,3.279,5.2948,2.1777,5.2584,4.6068,5.7117,3.1862,5.4952,7.7371,3.5154,1.5221,3.0352,1.8465,1.6498,3.9334,5.5942,3.9786,5.722,3.3176,7.1302,4.9011,2.7541,4.8792,6.4806,4.9735,3.2426
"KCTD1",2.1204,3.8627,4.5841,2.7737,5.8183,3.2924,5.0765,2.7231,4.7205,4.5228,4.3277,1.8377,2.5951,2.0109,1.5163,3.9673,3.4058,4.3825,3.0226,4.0733,4.5949,4.3715,2.4964,5.5938,4.3575,4.2014,2.5285
"CABLES1",2.0738,3.2878,4.3315,2.7038,5.135,4.527,4.8992,2.1064,3.5179,6.0514,3.3729,1.7902,1.6302,1.8885,1.7809,4.5484,4.9896,3.7358,5.1498,2.8568,6.0746,4.7152,2.7716,3.2033,8.6319,3.9839,3.2891
"DOCK2",1.3153,11.1765,20.4667,7.1641,19.0426,41.1537,30.583,6.8098,34.3846,42.742,18.9417,0.9412,2.8264,1.545,1.967,11.5274,43.0278,25.7105,6.3259,12.1099,24.1988,19.2828,2.7491,20.5743,25.9726,23.9686,2.4017
"EMP1",11.1665,91.0054,109.0413,87.3269,169.4078,99.9947,183.9315,19.9091,76.0865,305.8859,105.4874,9.153,13.8408,35.0967,29.4953,25.623,117.6944,85.0408,30.0731,54.5591,107.1978,45.1076,21.8466,60.9903,416.7497,68.6649,21.6414
"SOX5",0.6772,3.4622,6.2898,1.7109,3.6268,4.6649,9.4341,1.5506,4.8087,10.148,5.294,0.6743,0.856,0.727,0.9518,1.9412,9.224,1.9033,1.4142,2.6462,12.2755,2.5597,1.0718,3.2965,15.2454,2.5755,1.7857
"RERG",2.4387,18.5585,17.8622,11.3199,14.5694,28.3224,46.5593,6.5243,23.1093,30.904,21.8004,3.6824,3.9502,5.0599,4.4012,7.6764,21.6022,12.2122,8.3825,13.7939,17.1402,15.3926,6.8056,23.6601,75.3936,13.5136,9.0852
"SLCO1B1",0.0202,0,0.0501,0,0.1507,0.0225,0.2207,1.3072,0,0.0313,0,0,0,0,0.0575,0.0403,0.0513,0,0,0,0.0265,0,0,0,0.1012,0.0222,0.0156
"KLRD1",0.2685,2.0476,1.2705,0.7434,1.4114,2.7766,3.0694,0.4592,3.3156,5.456,2.2021,0.2014,0.4268,0.8172,0.5748,0.9411,3.3081,1.6499,0.5086,0.9053,2.1986,1.2599,0.335,1.5191,4.7888,0.843,0.5897
"KLRC1",0.4131,6.5068,2.6615,1.3195,2.4649,5.7642,3.9347,1.0947,8.2945,10.2593,3.5272,0.4695,0.1978,2.4388,0.7928,1.0426,4.2507,2.79,0.516,1.0754,5.2743,0.8832,1.5642,3.4843,3.3782,1.7261,1.6434
"SPX",2.7764,0.9207,0.3373,2.3165,3.761,0.4237,0.8776,2.2917,0.5538,0.0481,3.4334,4.3966,21.69,6.4015,4.0908,1.6634,0.1284,2.4544,2.5944,1.5185,0.0509,1.519,6.8775,3.5933,0.4284,0.9151,12.8994
"PRH2",2.608,3.9711,6.6769,3.3102,4.8095,4.8587,9.7243,4.4533,8.7308,9.782,6.6015,1.5533,3.8962,1.6955,2.6886,3.9234,10.2032,8.7291,7.6145,5.508,7.532,5.649,5.5592,13.0987,7.1491,3.8746,3.8027
"LRP4",4.011,2.4567,3.6856,3.4294,2.8093,3.4362,3.4531,6.5881,4.0438,6.3763,4.8169,2.8252,10.6736,2.8464,4.5443,4.6185,2.1839,1.5895,5.7905,3.4839,3.8701,4.8366,9.1498,2.1332,6.3293,5.3313,4.178
"MYBPC3",0.1978,0.4516,0.5719,0.0985,0.5738,0.7478,0.352,0.2133,0.3541,0.4898,0.2451,0.013,0.1684,0.6247,0.0937,0.3066,0.6534,0.5836,0.3876,0.1226,0.4663,0.5334,0.1028,0.3006,0.3522,0.5801,0.2954
"DDB2",7.9329,11.449,16.5747,13.6561,12.7975,21.3926,15.5119,5.7371,13.4303,20.97,13.973,7.9668,8.924,3.9368,5.8373,8.8233,16.492,14.3587,6.4787,9.5929,17.2441,13.7258,4.1068,13.7187,19.8998,12.817,8.0515
"ACP2",13.951,17.8097,27.3418,15.4246,23.7143,23.3318,15.8107,16.6874,22.2133,27.1424,24.0959,15.0026,16.7545,11.3422,10.9393,19.7681,24.1936,35.0537,19.2195,17.8713,27.5858,23.0742,14.872,24.6679,20.0744,25.9904,9.6413
"USP26",0,0,0,0,0,0,0.0165,0,0,0,0,0,0,0.0093,0,0,0,0.0158,0,0,0,0.0314,0,0.0207,0,0,0
"RTL8C",10.7256,50.6213,78.2174,25.8347,55.92,73.0282,72.1269,21.9463,66.8563,88.9108,37.1627,10.5071,15.0833,11.8073,8.833,31.3529,77.6768,45.8354,21.8034,54.6508,112.3103,42.1579,13.1036,61.1125,133.8302,67.6516,11.3887
"RAB33A",0.1788,2.0993,2.7324,0.6923,2.2228,4.8377,4.1223,0.9638,2.8528,3.1358,2.3542,0.1767,0.5074,0.1227,0.2118,1.821,4.9974,2.0822,0.6131,1.4408,4.2929,1.8598,0.3319,1.7211,3.0837,3.2115,0.0921
"SOX3",0,0.0264,0,0,0.0336,0,0,0,0,0,0,0,0,0,0,0.0179,0,0,0,0.0251,0,0,0,0,0,0,0.0209
"RBMX2",5.903,11.3732,15.7058,7.5647,16.009,16.7916,23.6232,10.2616,19.2586,22.3364,17.0745,5.6743,6.7761,4.9824,5.1875,8.7818,19.2882,16.5974,9.8337,9.774,21.0213,12.3131,7.1375,18.4352,23.6867,13.7166,6.8405
"STK26",3.4129,4.6184,6.5432,2.4513,11.6098,10.7617,22.0873,7.2154,13.1823,14.0574,11.6189,1.4936,4.3363,4.1265,3.3794,8.5941,15.0572,14.9884,6.4878,5.4466,11.452,5.9854,4.3118,10.6065,10.5426,6.4419,4.7485
"PIWIL4",6.5988,10.6095,14.2739,6.4828,19.8315,9.5512,12.14,7.2896,20.9626,19.6672,19.9731,4.1953,6.2756,7.6764,5.2335,7.7265,7.4767,22.6019,9.2743,10.0937,8.5107,15.7162,7.0985,19.145,10.3451,10.7954,6.2006
"MTNR1B",0.0278,0.1905,0.6203,0.0692,0.2075,0.5567,0.405,0.0999,0.0325,0.5595,0.4847,0.11,0.0296,0.0955,0.1186,0.1478,1.9081,0.1619,0,0.0259,0.7285,0.0643,0.1859,0.2536,0.1857,0.1223,0.0859
"PUM1",26.0639,43.2705,71.547,33.567,69.2244,54.2926,72.1207,29.3999,69.1395,79.679,61.0447,22.75,29.3002,24.0718,22.5173,42.4275,69.2412,65.084,39.6909,45.1058,66.9753,52.3816,31.1607,73.6546,73.9144,49.373,31.3728
"SPOCD1",0.0238,0.0778,0.5319,0.0132,0.5732,0.5834,0.5402,0.657,0.6496,0.6766,0.3048,0,0.0761,0,0.0339,0.9716,0.9897,0.3148,0.7477,0.34,0.812,0.2205,0.0443,0.1329,0.6103,0.3322,0.0184
"YARS1",20.3672,10.6625,14.561,9.2496,14.2766,11.8265,13.0029,11.0177,14.6229,17.3308,14.0227,24.781,18.6932,14.0567,17.5152,10.1605,13.6934,21.26,12.9043,11.8627,13.8695,13.4041,10.9777,14.4787,14.7698,15.326,8.0849
"PHC2",15.2153,31.9003,52.519,16.9448,44.6704,33.9878,45.4428,15.2663,50.9635,71.1788,33.6304,12.7105,13.1908,13.4067,10.5336,18.7614,40.2859,41.2916,19.0495,32.5355,41.9281,40.9403,13.2393,51.4636,44.1396,26.3928,9.5155
"CDCA8",0.515,1.6032,2.0884,1.1071,3.1138,3.592,1.6191,2.1241,1.4484,2.2459,1.523,0.2776,0.7971,0.9642,0.5824,2.1613,3.1822,2.1263,1.8233,1.2624,2.6058,1.5962,0.4171,2.6328,1.0549,1.4931,0.9765
"GNL2",8.2517,15.476,22.5984,10.0827,25.4875,19.1789,28.3384,11.4283,23.0656,31.8475,22.031,6.8963,10.7411,8.4638,6.3809,11.7757,24.6896,25.9527,12.7172,14.6156,21.6133,17.4315,10.533,23.0572,26.6458,18.8061,7.412
"AGO4",11.3811,15.6193,24.5659,12.301,27.0619,22.4838,26.9946,12.7607,27.4687,34.9657,26.6385,8.7437,11.9168,9.1937,9.0661,16.5153,24.9181,32.1629,15.9897,16.4231,21.2147,21.7212,12.49,26.0734,30.4948,18.4648,14.4078
"HOOK1",19.262,12.5975,21.5776,12.9012,22.0723,9.1941,18.1862,17.1827,18.2625,13.362,41.0561,14.9892,29.3131,18.415,19.4844,16.0466,28.323,37.1481,21.9626,16.6822,25.0587,20.5693,26.5938,34.5819,5.7705,9.9637,21.4329
"CYP2J2",1.5913,5.0972,4.1783,3.1122,5.3932,2.1275,3.724,4.1698,5.7061,2.4918,3.9176,0.9736,1.0684,1.7688,0.983,2.7054,2.3827,3.6402,3.146,2.2898,2.2329,2.9777,1.3082,6.4208,0.6008,3.0208,1.4928
"BTF3L4",9.0807,9.4498,19.9575,7.9978,17.01,15.6985,28.1621,13.5686,20.0752,27.6648,22.2876,5.5028,9.7635,10.4855,8.6557,9.9626,19.5005,22.8371,12.0091,10.3711,20.4489,13.6469,10.9575,24.5519,31.0398,9.382,13.0502
"TUT4",8.1602,9.7257,15.3325,7.8436,14.4539,16.0517,23.9552,8.1495,21.0666,26.1753,19.118,7.0891,10.7771,7.872,7.9925,9.0067,19.0248,19.5525,12.2374,11.5375,17.0887,13.6223,10.9008,21.9986,25.2087,9.811,11.4746
"PRPF38A",7.6105,13.5385,18.4003,8.5107,17.9251,17.5601,31.7927,10.9361,22.9673,25.2142,20.5023,5.7874,10.4989,6.8699,7.5906,10.9493,22.5095,21.3688,12.5694,11.3272,21.4044,15.0537,10.587,23.0575,30.459,13.5075,11.9602
"DSC2",7.587,8.8823,21.2972,6.194,25.6075,11.6474,18.2051,14.782,19.6086,22.8121,22.2453,4.6754,6.9658,7.816,5.71,13.0117,14.4069,26.5746,9.4879,12.2192,8.88,16.2721,8.3749,20.1659,6.4369,11.5588,9.4289
"DSG3",0,0.0198,0.4253,0,0.4895,0.1123,9.5795,6.249,0.0471,0.125,0.0821,0.0299,0.0215,0,0.0215,0.114,0.1924,0.0588,1.7803,0.0657,0.0397,0.07,0.0225,0.0307,0.0674,0.3442,0
"RNF138",6.6971,5.2391,12.2534,4.022,10.1985,10.2165,27.2213,7.7722,18.3015,29.2674,20.1531,3.4643,8.7294,8.7038,6.425,6.41,14.5154,21.452,9.7763,6.9064,11.7789,7.6712,10.5323,20.0627,28.53,4.3139,10.82
"ELP2",13.3318,15.8291,26.5455,14.4034,25.2911,26.6923,34.95,16.7948,31.3248,36.9349,31.6396,11.2638,17.4862,13.1554,10.4429,17.1795,31.3065,26.2238,16.6138,19.3509,30.851,21.2408,16.2607,27.9402,40.2876,19.3032,16.3735
"DSG1",0.0076,0.0149,0.0755,0.0063,0.1704,0.0254,0.5266,0.041,0,0.0236,0.0442,0,0,0.5697,0.0216,0.091,0.0967,0.0089,0,0.0142,0,0.0264,0.0085,0,0.0381,0.0167,0.0235
"DSC3",0.3731,0.1503,1.4412,0.0121,0.2546,1.5618,18.1798,0.4469,0.4441,0.317,0.4929,0.0651,0.1479,0.1004,0.0832,0.2575,0.7435,0.4004,0.6128,0.1836,0.7281,0.1522,0.1304,0.1668,4.7375,0.2172,0.1413
"DSC1",0.0396,0.0258,0.0817,0.0547,0.5738,0.1906,0.336,0.0118,0.1078,0.1224,0.1838,0,0,0.0996,0.0281,0.0175,0.201,0.1536,0.155,0.0858,0.0518,0.061,0.0881,0.1804,0.11,0.0435,0.1222
"DTNA",8.1758,6.3114,9.8488,6.7576,8.6289,5.2444,9.0446,5.6711,8.7591,8.0575,14.3979,8.3889,9.7434,6.1301,9.0436,5.8866,7.6798,12.4751,10.6001,7.7426,7.1459,10.1602,8.2669,12.5549,11.7785,6.3289,10.6727
"FHOD3",1.8951,2.9611,9.8481,1.0678,5.3183,3.8527,5.8604,2.5474,14.5127,9.487,6.1941,3.5432,0.8277,1.2039,1.91,2.6678,5.0308,3.9362,3.2942,5.3188,4.7414,4.9362,1.8508,6.8674,6.503,5.9098,1.4531
"TPGS2",3.9754,8.0346,12.1693,6.4022,10.8183,9.4214,12.7969,7.9761,13.4256,12.2624,12.7782,4.1186,5.4777,4.4706,4.072,6.9659,9.8777,14.0251,7.2205,9.845,10.5241,11.3878,8.2677,15.4776,14.2043,8.8957,7.5296
"DAGLA",1.7094,3.6775,3.4659,2.9251,3.8637,2.3219,1.5203,2.0941,3.1862,2.4799,2.8998,4.2715,3.1728,2.5337,2.7615,2.6772,3.6647,3.0425,2.9973,3.4134,4.7571,5.1972,3.7103,3.8822,2.2695,3.7061,2.3935
"SLC43A3",1.8329,6.7464,10.7067,3.3622,9.5175,10.4122,13.1178,4.548,13.4359,15.7641,10.5457,1.3556,2.8659,2.4482,1.941,5.7146,10.5343,11.9794,4.9841,5.5531,12.7206,9.3958,2.6247,9.7975,19.188,9.1869,2.9957
"TIMM10",12.1207,16.3328,33.3646,11.9233,34.4674,27.6005,30.3844,14.2148,30.4192,26.0569,31.1142,6.8863,10.1944,12.2076,6.294,12.0522,30.8899,37.3588,15.9993,13.9014,28.6104,18.6221,11.6404,27.3569,28.9524,28.7332,12.2794
"CBLIF",0.2579,0.4588,0.8426,0.1751,0.4955,0.3129,0.4552,0.316,0.2464,0.5806,0.3541,0,0.0998,0.0805,0.0667,0.3894,0.4766,0.8738,0.1378,0.6104,0.1535,0.7588,0.2612,1.4255,0.1565,0.1031,0.0725
"DHX34",3.8396,6.6181,7.4569,4.531,10.264,8.0522,5.1661,3.8338,8.164,6.9423,6.2174,4.2078,4.0963,3.1413,3.097,5.081,9.7941,7.5644,5.2773,6.5851,9.6922,7.8062,3.9663,7.272,6.226,8.1714,2.9509
"APLNR",0.354,6.7169,28.1512,6.9603,15.366,30.5683,8.8347,7.108,20.6118,17.6265,13.3405,0.8519,1.8672,1.3737,1.9804,10.8376,20.4747,9.3033,2.8728,10.6765,25.2384,12.115,1.5086,14.1537,37.3809,17.1471,4.1025
"FADS2",1.5904,4.3184,12.8093,2.9713,7.8026,10.2131,9.8567,2.6851,7.1155,11.0834,6.6592,1.0444,0.8519,1.8173,1.066,3.1834,14.3677,14.0588,4.1804,5.1756,17.7812,6.3841,1.9972,3.5772,15.0454,6.7729,2.8738
"TMEM258",8.2965,15.3766,22.7113,12.6149,20.2646,23.4084,24.0597,19.8819,21.6759,25.5077,24.3939,8.0192,17.0342,9.5848,8.846,16.6779,24.9347,21.7283,14.8781,12.5054,24.435,21.4796,14.3694,24.497,26.841,23.4923,14.6965
"TCN1",20.914,125.6774,73.974,73.6462,61.242,45.2157,50.6648,200.2056,7.8027,44.7982,12.2141,0.7422,0.879,1.5724,12.9711,88.7866,91.8752,14.3422,16.9402,34.0032,125.6866,13.5829,10.9148,28.6477,33.7163,30.5138,9.8624
"C5AR2",0.1247,1.0491,1.6067,0.731,2.3043,1.6821,3.0258,0.3883,1.7467,3.7944,1.4099,0.0904,0.115,0.1826,0.2127,0.3644,2.6717,1.9553,0.4153,1.3061,1.5348,1.2585,0.0926,0.998,4.1619,1.7915,0.1991
"TMEM165",12.4182,17.4746,30.7545,12.7168,34.0054,27.5986,43.1506,20.9348,34.5558,55.0908,34.6659,6.5711,16.1732,16.4032,11.6388,18.3653,32.1729,44.2876,26.5173,18.1737,32.0135,23.3295,17.2309,34.5172,43.321,21.0994,15.767
"CLOCK",6.7344,9.991,19.9806,8.3792,18.6989,15.8994,31.1226,14.0396,25.1256,32.8053,24.5266,5.0968,12.7262,8.3647,8.1783,10.5195,24.6496,23.7493,14.0234,11.0154,28.102,14.4772,12.4446,27.581,32.9623,9.8599,11.8651
"PDGFRA",9.8992,41.3277,49.9626,20.2103,29.8493,93.7843,230.2338,18.8894,81.5249,219.912,42.034,6.058,11.1613,9.959,7.7074,17.9781,85.9217,32.1729,19.1427,27.1074,113.9811,27.4911,10.1252,69.6856,230.3883,38.7627,13.3626
"GGACT",4.3735,4.0097,3.6529,2.9164,3.524,3.6923,2.8501,4.3076,9.6824,3.3589,4.1025,5.5392,4.7055,6.7834,6.8163,2.7759,3.6014,5.9044,5.9036,3.4037,3.2245,4.905,7.3427,4.5053,3.8121,3.4023,4.8178
"COL4A2",6.494,48.2284,128.648,22.4471,93.4996,70.126,75.8151,37.4738,119.2808,139.6322,55.6912,8.4489,10.0015,8.5192,7.0508,31.0097,60.7341,73.0702,33.1362,56.119,73.9702,65.9752,9.0784,83.9971,142.8287,58.886,8.0085
"CLDN10",23.4271,44.703,46.4902,43.6099,56.5725,25.1983,23.0165,34.5452,28.302,18.9503,61.7792,17.8258,39.9953,26.1007,32.7251,42.7259,30.2492,54.3122,47.4611,43.9351,12.4858,49.4019,43.7156,91.1388,6.0263,35.0757,39.3073
"DZIP1",11.0542,17.9501,26.7765,21.283,25.2205,18.6923,24.7221,16.3271,28.4337,31.3218,30.8977,9.6574,24.749,12.1569,14.9165,19.0296,17.9033,24.2215,20.8756,23.6585,22.0766,30.0385,22.0177,41.1384,23.2987,17.9675,20.4997
"UBAC2",10.2326,18.0305,29.5097,13.37,26.0861,29.3897,34.6467,14.1631,30.1397,39.8944,25.4421,8.8267,11.3116,9.9787,8.7642,15.5388,34.9578,27.5382,15.2326,18.9832,34.1097,22.6219,10.9135,25.4439,34.4998,24.3211,11.1453
"ARGLU1",30.5419,46.663,83.7128,40.5078,83.3841,86.071,139.451,47.9572,93.4618,131.917,92.1578,22.3505,35.8156,30.6824,28.3139,42.6564,105.8028,83.271,50.1369,56.6676,86.3485,60.1747,38.0083,102.5047,132.6597,47.5204,46.8135
"BIVM",3.9805,4.0193,7.5298,4.0783,7.2201,6.4657,9.9609,5.4405,11.1545,10.8726,8.862,2.926,5.562,3.3404,3.9873,4.5775,7.2796,7.8605,5.9225,5.1102,8.8675,5.5582,5.2853,13.0683,10.6512,4.0735,5.5811
"ERCC5",1.3437,2.3494,4.0495,1.9348,4.3323,4.222,3.8921,2.2586,4.3012,4.0513,4.0889,1.0881,1.9648,1.3093,1.3125,2.119,3.9979,4.4823,2.9429,2.4422,4.3027,3.4165,2.2593,4.4401,4.4709,3.0124,2.1698
"TPP2",14.5079,21.1699,36.8577,16.6501,35.0605,33.7379,49.0051,24.3359,43.5138,56.9145,47.6848,10.3948,17.387,12.2949,14.014,21.2088,45.0823,41.8464,26.2626,22.6605,40.4743,27.9607,19.9537,44.0513,50.2683,26.1818,20.3425
"POGLUT2",1.5189,5.001,11.9797,3.4807,8.992,12.627,19.1337,5.4369,17.9019,29.1763,7.6749,0.5242,1.8472,1.2745,0.9254,4.8044,10.3839,6.6544,5.244,7.6666,16.0402,5.8239,1.9871,13.0087,20.4428,13.0182,1.7695
"CARS2",5.1108,9.1244,11.5553,6.9808,12.0431,13.1,10.4911,5.6583,9.873,11.6503,10.0068,5.7179,6.294,5.2278,5.0983,6.9328,12.4993,10.4706,7.2887,9.0974,15.2453,12.1505,6.6419,12.2462,13.8268,9.6382,5.9037
"ARHGAP32",16.8118,12.3892,15.016,13.3774,21.2163,10.2905,12.1241,18.8236,16.1297,21.6176,18.5684,14.1535,15.1403,14.3991,20.982,18.2491,13.8917,23.5521,25.293,14.9583,17.3529,19.9625,13.5316,18.3987,14.3631,14.6918,23.9933
"STT3A",20.705,33.7782,48.1661,24.871,46.8715,40.402,55.6833,37.0999,48.1124,58.1197,50.16,23.485,40.5016,23.7849,28.5058,32.1811,56.1439,51.1701,36.5831,31.2464,51.9992,42.851,37.37,49.985,53.8207,47.1517,34.7069
"ADAMTS8",1.0337,5.8153,8.5106,2.934,6.2054,9.2101,4.5056,1.503,4.1125,3.1992,4.851,1.0754,0.5065,0.691,1.3632,2.2585,7.1191,3.9914,0.9594,4.2743,3.4555,4.2285,1.4845,4.0723,4.2905,4.3375,0.683
"ACRV1",0.1148,0.1404,0.1778,0.0714,0.2853,0.2552,0.1044,0.1804,0.268,0.3108,0.1667,0,0.1221,0.0394,0,0.1906,0.4374,0.5346,0.3373,0.0534,0.3382,0.199,0,0.2616,0.0958,0.284,0.0665
"ETS1",10.0211,35.6502,59.9079,19.6489,68.519,86.9698,107.8821,20.0303,92.5822,156.1712,62.5129,8.6662,15.1567,13.4132,14.5151,27.1012,109.688,59.6441,26.2353,39.9505,72.3462,54.1581,14.32,55.4027,107.8902,43.2487,15.5808
"SLC37A2",0.5508,5.2324,14.6068,4.0391,16.146,13.0585,6.1013,4.6449,21.2608,20.8267,9.8046,0.5356,1.4179,0.7623,0.903,6.5733,9.7963,11.8971,4.6476,10.5063,12.588,13.7374,1.1576,13.9742,9.7711,15.8064,1.1598
"KLB",8.3797,3.6817,3.8137,3.1065,3.0331,1.8781,2.5962,4.6115,2.6402,1.4521,5.2656,7.6884,12.3317,10.9774,16.8821,4.0826,1.979,14.6762,5.8057,2.9403,3.3918,4.1321,7.7235,3.8365,10.0551,2.3012,10.8378
"TMED7",15.3755,8.2217,36.7607,11.3972,28.3005,20.1854,101.1406,41.74,60.4506,83.3731,67.2722,10.1445,37.2296,26.6511,27.6734,19.1063,41.7501,59.5722,37.9454,15.6776,31.6139,22.4898,44.4903,71.0981,88.6262,6.5067,39.0898
"APC",6.6372,14.0909,22.5461,9.192,22.0578,18.8884,29.5401,12.3733,25.7409,34.6102,24.8476,6.5867,10.8396,7.4472,9.3906,12.5673,31.5608,23.2357,13.6197,13.2979,28.6145,16.8019,10.7506,25.1159,34.7681,15.9271,11.049
"NREP",0.3631,1.0656,3.3814,0.9991,1.843,2.3616,1.931,2.1962,4.4787,6.1519,2.4323,0.2691,0.5087,0.3863,0.5075,1.7604,2.5061,2.3747,2.4098,1.7553,2.5516,1.8183,0.9031,2.8325,4.1306,1.5571,1.0377
"WDR36",8.2908,10.9117,21.6853,9.1311,20.6595,19.0674,35.7961,13.8792,27.4229,33.5373,26.1354,6.1656,12.1803,8.9492,8.4555,12.1671,25.543,23.5679,15.1788,12.5034,22.2455,15.1681,12.8637,27.9521,35.5587,12.4827,11.8779
"OSTF1",13.3283,37.8544,69.7868,27.6288,63.6286,82.9743,106.3674,40.9526,80.923,100.3457,76.1115,10.1171,18.6729,17.7839,16.7205,39.9355,95.9714,81.9866,32.6043,39.1582,84.2108,49.0616,21.7317,65.9785,92.819,66.1631,22.8204
"RFK",5.504,6.8383,18.0962,5.1949,18.9887,13.3411,30.832,11.1455,20.5861,23.186,25.087,2.5904,8.5837,7.947,6.7897,8.3273,21.1258,21.6879,9.2228,8.7999,19.279,10.0972,11.2062,19.5633,24.7406,8.6627,10.4502
