"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"GLI1",0.5929,3.7583,8.6774,1.6294,5.5431,9.0917,8.5279,2.3081,6.6762,12.2133,4.6635,0.5737,0.7229,0.9073,0.6146,3.6344,5.0056,5.8685,2.0874,4.0193,14.8652,5.0533,1.0042,5.4627,12.7607,7.0086,1.8129
"PPM1H",7.0677,8.6535,14.4074,7.0838,14.5039,8.0599,9.368,7.8894,10.8579,14.7571,11.015,5.6488,7.5959,5.5645,6.2644,9.0079,10.4774,11.4442,9.5201,8.0991,13.3847,11.6485,7.539,11.9368,7.6106,8.438,5.3629
"METAP2",14.4472,22.5649,39.8271,18.9999,38.3529,32.8258,55.9556,27.7391,44.7285,53.097,46.7979,11.2792,18.9361,14.5243,14.9136,21.758,41.3932,51.0577,22.8349,23.6354,38.7111,25.3649,17.8786,45.1162,62.2301,23.1829,19.1152
"LTA4H",7.7732,18.0609,24.8613,12.028,28.6783,23.1305,36.1972,19.5633,33.7778,48.3624,36.644,8.3515,12.6256,7.5869,8.2609,18.6772,31.4721,41.4262,16.1515,20.3101,25.4996,22.4773,10.8685,27.5355,34.682,26.2465,11.8163
"ELK3",4.366,13.0051,24.3442,8.6537,21.9068,27.9685,46.7686,11.4732,31.8429,60.8628,28.4894,3.476,8.6722,6.5442,6.293,13.92,34.5443,32.8229,15.8267,12.5954,25.5078,21.1372,8.6178,26.5244,65.3214,16.0442,11.1775
"SLC6A12",0.1707,0.3444,0.8459,0.4337,1.1272,0.4033,0.3883,0.7283,0.7721,1.0894,0.9542,1.2756,0.1589,0.4101,0.6521,0.744,1.0977,1.1428,0.486,0.4761,0.6426,1.1835,0.202,0.1459,0.3917,0.9853,0.4697
"WNT5B",0.4782,2.1574,2.6993,1.2344,1.4532,2.4814,2.6596,1.086,2.6053,3.1245,1.0648,0.2494,0.7915,0.2918,0.6326,1.1294,2.0589,0.4795,0.7418,0.7657,3.6358,2.1186,0.9025,1.9179,2.3723,1.563,0.472
"MAGOHB",3.6896,3.4733,8.2492,3.7952,6.7427,7.0015,12.5698,5.3642,10.952,11.7253,9.6006,2.3237,3.5793,3.8434,3.7147,4.5845,10.1143,9.7455,6.3972,4.7183,8.0482,6.0668,4.589,10.3662,12.3358,4.0958,6.5819
"TRPV4",2.819,5.3883,7.31,3.641,10.1341,3.9101,4.4786,3.8511,7.1249,3.7777,4.3217,2.1255,3.278,2.464,2.6028,4.6521,4.5413,5.6519,4.4204,5.3771,3.5776,8.2123,3.7547,5.5433,2.0372,8.517,3.8841
"ITFG2",6.2399,8.2989,9.1599,6.5519,10.2648,10.2324,9.2653,6.2046,11.4266,10.3249,9.1742,7.4575,7.071,4.902,5.5043,8.0263,11.0048,10.014,7.7013,7.6938,11.2969,12.5504,8.0329,10.4691,12.1582,9.1691,7.7004
