"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"DDX60",38.434,42.6803,39.6632,42.305,32.8807,29.9456,28.9115,44.5646,55.5034,55.2448,28.9229,34.5743,30.9658,42.4562
"NXPE4",3.9956,2.9417,1.5078,1.9683,2.4637,3.1298,1.8163,2.1309,2.5784,1.2582,2.2755,2.8606,1.0565,3.0446
"SORL1",18.5261,28.9911,30.8296,24.8886,12.8531,45.1077,20.3729,24.1589,20.2738,31.5204,14.7217,30.5226,18.1879,17.845
"TMPRSS4",0.782,7.4954,2.9742,2.9185,0.3811,5.2135,11.9631,3.566,1.4108,12.5039,3.3192,8.7062,2.8611,4.4719
"BUD13",49.6661,30.3664,30.4226,33.8814,36.7758,32.9433,26.6023,40.9024,38.3637,34.5104,36.3478,27.0323,39.6177,31.4337
"TRPC6",12.6187,18.0471,20.8942,31.932,22.0669,17.2667,23.5534,21.7106,13.8118,24.4836,11.8434,45.4126,10.3043,28.5064
"MMP7",55.0286,136.5598,93.3388,190.2827,31.7407,58.0624,131.9402,350.7065,104.893,474.7997,303.3759,132.3877,171.7525,233.7194
"MMP20",0.1252,0.0413,0.0717,0.1793,0.0391,0.0687,0.1244,0.8565,0.1963,0.9189,0.1237,0.2296,0.4112,0.0378
"MMP27",0.3408,0.2811,0.0488,0.0976,0.3191,0.0936,1.6939,0.1521,0.1336,0.604,0.1684,0.7295,0,0.1543
"CFAP300",7.2467,6.4945,6.6443,4.9479,7.8784,12.4986,5.7025,9.3059,7.7638,7.5824,5.0733,8.1984,6.8641,7.4735
"DCUN1D5",10.9591,9.2885,9.5323,7.6949,8.2152,8.4942,5.5683,7.4665,9.1569,7.5177,6.5098,8.2277,8.213,9.9534
