"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"PSMA4",30.824,30.3248,33.4763,34.8596,31.2725,38.4323,30.5898,28.135,34.3106,41.4137,30.8791,36.6608,26.429,40.6334
"MYO16",0.3143,0.323,0.1662,1.0285,0.4527,0.3882,0.766,0.1402,0.6112,0.2662,0.3405,0.2661,0.2502,0.3503
"LSG1",41.5743,31.8747,35.1638,35.4259,30.6763,29.1361,33.9556,40.1148,40.3518,35.2477,40.6074,36.9144,58.5394,34.8531
"PARP3",14.8858,17.0733,20.5227,17.2979,16.0849,12.8876,16.0626,15.0066,15.1502,19.9284,13.6782,14.89,7.676,21.5871
"TNC",119.5235,109.711,179.9625,173.1048,100.3503,196.5965,232.2768,79.4284,51.0392,103.7923,376.0202,149.9202,64.5144,197.2932
"THAP3",11.8814,11.0594,11.9451,11.0887,8.5029,10.0428,9.5794,9.8564,14.4328,10.7125,10.689,8.6662,8.2277,11.6121
"RIPOR3",26.3275,16.5999,27.7101,24.3151,22.1827,37.0226,19.6667,23.5122,29.7931,20.1417,20.014,16.1001,17.542,25.8752
"TDP1",11.8844,11.7278,13.3362,15.6449,8.6585,10.7315,8.9492,10.8052,11.498,15.2028,8.0352,18.473,7.1727,11.8783
"AIFM2",7.1598,8.5235,7.5636,6.2426,5.6157,7.2118,5.1674,6.7603,8.3703,7.6123,7.0302,7.6908,6.0745,7.0848
"C2orf83",0,0.0303,0.0526,0.0263,0.0286,0,0.0912,0,0.0359,0.0464,0,0,0.0301,0
"SPATA7",19.3996,16.6056,14.9426,14.0741,18.5129,16.3201,11.4219,15.8465,26.1852,17.5473,11.8973,15.121,11.6457,18.1708
"MED17",4.5424,3.7208,4.103,5.3652,3.7906,3.7987,3.0515,4.3402,6.1863,3.6494,3.1864,5.1848,4.6221,3.5323
"RETSAT",29.9512,34.5909,39.3192,27.7547,24.7912,26.8967,28.568,33.1429,36.3334,35.438,23.3918,37.2277,21.0621,33.6758
"CAPG",46.8733,28.4701,34.1944,27.7908,30.5654,52.1672,40.5599,36.8396,58.6403,55.336,47.8402,31.3585,47.3243,33.9881
"AP2S1",40.766,36.6219,48.6817,47.0287,39.6434,46.9194,44.0057,35.8329,40.0541,44.5166,44.3641,60.8603,34.5141,50.9129
"USH2A",0.4132,0.8638,0.9234,0.3152,0.1161,0.8932,0.181,0.2858,1.2572,0.3726,0.425,0.2606,0.2087,0.5098
"ZPBP",0.8525,2.2901,0.9771,0.6978,1.0643,0.0334,0.2421,0.7609,0.8115,0.6166,0.1505,0.8937,0.2401,0.8823
"TG",0.7946,1.0137,0.9052,0.6171,0.726,0.6385,1.6129,0.692,0.349,0.7343,0.8302,0.6498,0.4623,0.9102
"ADAM28",11.0363,16.9098,34.1122,33.4389,7.1211,10.4821,14.0423,16.1267,4.2227,39.2403,4.0099,40.1167,5.5905,15.7622
"BARX2",0,0.0843,0.5371,0.1465,0.0798,0.1871,0.1059,0.3549,0,0.3667,0.1684,0.2866,0.3639,0.1029
"DCUN1D1",28.9667,26.6616,23.7743,22.2493,25.9812,26.3045,20.9061,22.7721,26.7002,24.5995,15.7854,23.7822,21.4172,29.5875
"JADE2",34.569,25.7444,20.0602,14.577,18.0933,28.0405,17.1968,27.26,30.1063,16.5924,23.9372,13.8954,12.9514,18.4655
"ZIC2",0,0.0641,0.0278,0,0.1213,0,1.1591,0,0,0,0.024,0.0297,0.0638,0
"LCP2",7.9187,7.3113,6.2428,6.8325,5.5426,9.1575,10.0718,7.9593,7.8238,8.6943,5.6961,5.4586,9.3588,5.6431
"TRIT1",23.6524,21.9552,21.5508,20.5103,18.5572,15.6759,20.1622,22.8996,22.1541,21.0098,18.4637,21.4718,19.8218,25.613
"ADRB1",0.1052,0.2082,0.422,1.6576,0.0657,0.231,0.1569,0.2817,0.2062,0.8788,0.104,0.3217,0.0691,0.254
"GUCA2B",0,0,0,0,0,0,0,0,0,0,0.1308,0,0,0
"CUL7",21.694,20.5884,28.4819,27.6672,18.2684,27.4155,23.3347,20.6862,29.7613,22.3117,24.7818,26.7094,18.0924,25.4178
"CTNNA1",144.0635,116.8125,133.6884,127.5391,120.9915,118.8824,137.4856,118.1781,136.0811,126.5731,119.6443,141.3819,153.6723,129.4816
"PHKA2",16.7324,18.4722,20.5238,18.3348,15.6203,14.7645,12.3717,19.9294,23.7659,17.7256,16.2386,19.1914,19.1201,18.1889
"CNTLN",27.5373,24.6601,20.3669,19.3293,22.3389,16.9895,15.8976,27.1808,34.8951,22.3391,16.7497,17.3965,19.4027,22.2758
"EPHA3",30.9799,42.7347,23.1894,25.0939,39.0203,18.6399,36.7449,24.3949,48.2987,18.199,19.8054,18.6083,38.3884,44.5449
"HSPA5",156.7102,275.2704,195.1176,231.6221,110.3927,188.8949,174.2074,122.3703,129.4006,210.0954,180.3494,215.899,147.2925,169.2981
"DSG2",9.0272,24.2244,39.8261,34.9203,5.5855,5.8832,10.5865,16.3327,17.9605,48.1757,7.3306,56.5598,11.2899,18.8505
"GEMIN8",37.7202,33.1973,40.0568,38.3507,34.7834,32.0395,26.0556,34.3703,41.0979,35.991,30.6654,35.4878,23.9166,42.4772
"OFD1",62.6509,52.2234,58.9499,69.0275,61.9968,62.4427,50.8349,80.3888,77.1566,77.3336,47.0512,63.494,68.7047,55.185
"GPM6B",22.7102,16.587,25.414,24.9974,15.693,34.4205,14.2579,25.43,22.3155,27.87,11.862,27.5952,12.0195,19.6278
"MAGEC2",0,0.1058,0,0,0,0,0,0,0,0,0,0,0,0
"PREX2",32.8342,31.0173,25.6638,19.5678,25.9157,24.514,21.518,28.9272,38.4234,35.2083,20.2172,22.2144,24.7587,29.295
"WDR37",20.4135,19.5834,21.1522,18.838,21.4891,19.1917,18.4081,20.9202,22.7511,16.7485,18.1531,23.7207,17.3014,19.8175
"YTHDC2",32.7539,27.5938,28.4427,28.8539,29.1817,28.7997,24.5136,30.0064,31.7421,33.0086,22.5905,31.7912,42.7974,27.9986
"CTPS2",32.0411,34.8183,34.5141,33.5156,30.1634,28.083,24.5761,31.4845,36.9065,35.351,22.5798,37.2207,24.8559,35.1556
"ATP6V1H",26.913,30.809,29.81,25.3375,29.1484,24.8274,25.2001,21.4102,25.4597,32.7588,21.7604,30.8925,20.6594,30.969
"POLR2B",90.5568,84.1613,88.6627,87.6083,82.1317,88.6642,74.2529,79.14,89.893,92.7581,76.9687,91.9451,76.7856,93.3049
"FAM214A",24.6689,40.8046,35.5058,39.7299,24.1131,27.9547,29.1131,28.8455,33.6853,33.1226,14.0038,33.2272,9.9022,32.5066
"ARAP2",15.933,16.5408,13.6219,12.9419,12.9915,12.1108,15.6691,14.7019,19.4111,16.0336,8.3208,10.8238,25.0583,12.1216
"TPR",122.5209,99.6245,92.8254,96.8389,95.4342,91.6495,79.6443,97.5326,106.8837,116.8076,70.4801,108.9212,96.3086,102.4923
"CP",6.359,28.1411,67.7815,13.7538,7.8307,32.7966,108.192,45.98,3.7919,195.195,14.4092,42.5181,10.7075,30.811
"KATNIP",11.0226,11.7388,11.6094,11.1864,8.2097,8.5567,10.3934,9.9248,11.1042,10.0583,9.745,12.4789,8.566,11.4016
"DTNBP1",11.2304,16.6197,10.2849,8.1185,8.9102,7.0585,9.8589,11.0531,11.8481,10.734,10.8661,9.4672,9.7233,12.197
"XK",1.8125,4.6679,2.7619,2.4605,1.7549,3.019,1.4894,2.0404,2.761,2.9406,2.2901,3.004,1.0149,3.7488
"ANO2",6.6444,7.9247,7.5126,7.3359,13.4477,7.6041,6.2489,11.3581,14.0235,3.9721,6.3776,5.2197,14.1209,7.4206
"C12orf4",19.0358,18.2191,17.57,16.6018,16.9539,17.8287,14.3362,17.1239,18.9032,19.0838,15.6642,20.9301,15.9497,22.54
"SCML1",25.6868,15.0802,18.5969,24.6257,26.5381,25.9739,18.7737,36.9735,20.5392,23.4677,9.973,17.5162,53.3055,18.6608
"WWC3",25.0397,20.7718,19.8812,17.9152,22.2886,17.7451,23.4972,21.0138,23.3288,16.0376,24.7693,17.5396,26.2776,18.7457
"ARHGAP6",28.1604,19.6629,19.818,17.8068,28.3982,17.2195,16.8663,21.5496,27.3644,18.1553,28.2735,16.3453,20.7854,27.3666
"FAM184B",1.4566,1.0341,0.8574,0.7756,0.6819,0.7301,0.7318,0.9749,0.9495,0.6132,0.8919,0.7261,0.749,0.7885
"MAP4",56.3175,58.1921,50.4136,48.4328,44.2313,50.6695,50.3688,38.2579,62.2482,42.3957,66.0949,50.0703,43.3371,61.2653
"GOPC",65.8325,60.5721,63.0206,61.2502,54.6553,70.2348,40.3061,55.5475,65.4438,58.9311,37.7728,54.7484,35.4699,65.5561
"ROS1",0.6233,0.2254,0.1649,4.2137,0.0112,0.0099,0.1072,0.0214,0.1128,0.2731,0.0178,3.4417,0.13,0.1194
"USP28",30.6711,29.9117,28.5744,28.3781,25.9964,29.1854,22.4346,27.7222,31.5301,31.0898,29.2962,26.015,25.104,29.4948
"HDAC9",27.932,24.965,19.0652,13.2876,18.7332,10.058,18.4451,20.9829,28.0895,16.019,18.7127,15.2361,19.4702,21.9952
"TSPAN17",10.2377,12.5184,11.066,12.7504,7.7682,9.5412,10.161,10.6687,10.3564,14.8824,12.5875,13.1962,9.8279,12.0647
"NOP16",7.574,7.1585,8.431,8.1368,5.8152,5.4886,5.7876,7.1651,9.5741,8.2828,8.8145,10.6646,22.4308,7.27
"CC2D2A",28.2412,32.5829,28.5456,23.8689,22.573,28.7871,18.1858,23.4025,33.6945,26.1375,22.248,25.0088,14.2102,35.3982
"RRM2B",29.493,29.5014,26.133,24.7192,28.0408,27.6566,19.0249,28.5444,28.8926,29.1233,19.796,25.567,31.4823,26.5816
"ZNF800",38.355,33.3893,29.4744,28.1105,31.6068,30.6001,26.6188,34.0828,35.3238,29.9942,24.5312,34.7779,47.8442,30.5672
"TNFRSF17",1.7849,0.4156,3.3392,4.3313,0.9831,5.274,2.1133,2.9984,7.1606,3.907,3.113,4.0449,0.5174,4.6586
"SNX29",18.1744,17.9961,15.298,15.4093,17.3175,16.2323,27.5621,15.8077,17.6004,15.6359,14.7304,14.3874,15.6901,16.4746
"LMO3",82.3166,12.0101,9.4972,9.5141,27.8333,67.8741,36.9345,36.7419,32.762,9.9928,34.2526,10.0665,18.7013,21.5054
"MRPS10",47.0921,47.8613,49.0723,53.2521,40.5301,43.9196,38.6254,41.0318,50.2433,45.7061,39.3839,47.8524,45.1108,48.4794
"GUCA1A",0.0659,0,0.085,0.0567,0.0926,0.0272,0.0246,0.0589,0.0388,0.025,0.1955,0.0605,0.0325,0.1194
"RSF1",37.3185,36.6517,30.4543,29.2338,32.9708,31.5452,24.6259,30.4837,36.8924,30.598,25.4295,29.2079,23.5206,35.6691
"VPS13D",68.5127,60.1522,73.2398,63.4168,59.0432,54.9444,59.8859,59.8402,65.1288,54.1272,56.0349,63.9338,73.8231,57.6588
"CELF2",38.7028,20.828,24.0894,16.594,26.7313,14.6766,30.4594,23.7637,23.731,13.2401,21.1839,16.028,25.8784,22.3536
"FAM120A",66.8576,83.7205,81.9686,73.0078,56.8308,59.7673,63.295,63.8946,74.259,75.39,59.1743,88.93,70.1376,74.0058
"R3HDM1",15.5977,19.8967,15.9473,15.8291,11.383,14.1333,11.9499,14.1251,17.1512,15.1346,13.2523,16.2633,8.8164,18.9382
"COL9A2",6.1942,9.4081,15.908,12.7333,5.9656,3.9141,3.7508,12.0943,3.5973,17.3764,4.5353,11.8741,5.5316,10.8748
"KITLG",51.1277,91.0013,41.3794,31.4249,64.4194,24.1982,33.0071,57.7538,60.0397,28.9286,23.7044,25.6788,21.5975,47.2309
"ERCC8",5.4328,6.2663,6.4185,5.5976,4.5553,5.2855,2.8745,4.7852,6.8056,5.3354,3.8985,6.3288,4.0254,6.926
"ADAMTS6",4.6907,25.4398,8.2457,23.4077,6.3841,7.1926,29.4591,8.3614,9.305,18.1702,7.6181,17.7131,4.5493,14.6692
"H6PD",51.0768,43.7837,45.8892,45.971,39.5827,43.5859,59.5112,41.9625,56.337,41.5327,61.2577,39.3444,64.7817,42.2352
"VAMP3",153.279,134.3693,122.2359,112.3658,142.3878,123.1724,102.1476,127.1919,164.6497,105.567,95.9599,98.3967,121.0884,125.9468
"PER3",45.3686,60.7349,21.2745,30.0243,47.3956,42.3121,10.3095,19.9162,50.6407,16.0481,10.7581,34.0125,27.8157,59.9918
"UTS2",1.1887,0.2941,0.1022,0.2554,0.2783,1.2725,0.1772,1.167,0.6989,0.1354,0.2203,0.4362,0,0.4306
"TNFRSF9",0.3857,0.3818,0.3604,0.5045,0.7538,0.5386,0.6502,0.5239,0.2564,1.3756,0.2735,0.4308,1.7355,0.2886
"EPN3",1.4199,3.3024,4.7398,1.8916,1.2409,1.8319,2.1524,1.5418,1.3914,2.0489,1.4736,2.8221,0.5131,1.6501
"LTBP1",94.1663,136.3532,115.9106,147.5037,126.057,104.4515,114.1507,113.2403,124.3549,109.8411,113.2333,134.0044,96.5495,203.7672
"RCN1",23.2816,28.7955,33.9819,37.1924,25.86,29.4154,28.1752,24.5211,26.5079,28.1046,24.8003,41.0072,28.3465,28.16
"ELN",29.5843,20.5866,25.1461,14.3023,14.5923,23.4649,39.2609,17.9311,31.6818,11.9859,37.2634,11.3427,18.3693,30.3774
"RFC2",23.4725,22.9916,22.6207,25.31,20.8949,20.8772,17.8221,27.4007,28.3378,27.9649,20.2932,27.6325,33.6309,24.6594
"ARID1B",20.0854,23.506,19.9214,20.3991,18.3873,17.3998,20.3114,22.6487,24.4994,19.6391,16.0426,20.4802,25.1982,21.5285
"CLPTM1L",19.8032,24.3816,28.0302,25.2431,20.3858,19.9792,21.9083,18.9517,22.6549,23.8131,25.9934,26.7033,21.9705,21.7341
"NEDD4L",4.0381,6.2115,5.995,6.3869,4.2471,3.1655,4.6673,5.2578,4.465,6.4638,6.1839,6.7651,6.0745,5.9074
"FOXP3",0.4834,0.4785,0.8311,0.5342,0.194,0.5687,0.7723,0.4623,0.6091,0.6556,0.6143,0.3168,0.3744,0.344
"PPP1R3F",4.7222,2.9149,4.6031,3.5564,4.3304,5.4321,3.593,4.8227,4.9231,3.7156,6.4775,4.1307,4.7499,5.3562
"HEXB",67.9346,58.6107,69.1167,65.8194,63.2311,63.555,64.2846,59.6053,54.3218,67.9713,47.5851,63.5053,51.6226,60.2086
"PTCD2",5.2074,7.0252,7.1073,4.8157,3.6898,4.9618,2.8788,4.8201,7.4472,5.0569,4.6164,5.3899,1.9852,6.4519
"NEXMIF",7.4712,3.4961,5.0634,3.1846,5.1516,7.518,2.962,4.5865,5.2204,3.6405,4.3985,3.6683,4.9797,4.4816
"JKAMP",36.11,33.6035,36.9354,36.13,36.9304,41.5376,27.7601,38.7424,40.6753,37.8975,29.3093,35.1686,19.7013,42.1047
"DKK3",26.4143,32.8974,28.1745,24.9076,29.1216,45.0226,24.0833,14.7297,12.9418,12.0603,26.1792,19.2841,9.4767,35.0151
"ARHGEF5",2.6193,4.8219,5.3216,6.0765,2.4182,1.9759,4.4652,3.7271,3.7477,4.4513,2.4847,8.8041,5.5419,2.5709
"NFE2L3",15.2556,17.9657,18.414,19.582,15.6524,15.3567,11.7053,19.0081,25.5396,21.5913,13.8418,21.8087,15.1326,18.5912
"MCUR1",15.2891,14.4695,9.6033,13.2763,12.2564,15.2417,14.2311,17.8374,12.7648,13.829,12.2592,12.8626,8.1842,12.6817
"LIMA1",112.8755,72.7758,74.5631,87.5432,74.6343,65.959,74.4269,57.6934,85.6162,58.9454,75.6672,111.1848,78.8562,80.0315
"LETMD1",34.6976,40.3014,47.5927,37.5039,36.475,31.8318,28.3826,39.9537,40.842,37.3925,27.2391,34.7613,23.9406,39.8507
"SLC4A8",0.5114,1.489,1.3955,1.4413,0.6626,1.3418,0.6384,1.1411,0.5594,1.6394,0.8067,2.2638,0.7912,0.8401
"LAMC3",1.5379,1.4748,3.8223,10.4508,1.3841,13.4495,11.6248,11.0332,0.757,6.6906,4.8603,10.2575,2.6083,7.7618
"PTGER3",93.2302,361.0284,93.6038,65.667,180.0978,3.991,33.3071,69.5394,187.5818,52.8773,36.5712,65.8842,58.5021,146.7431
"TNIP3",0.3695,0.4501,0.3909,0.4153,0.3194,1.7556,0.7417,1.0908,0.3677,2.8495,0.5478,0.6519,0.7004,0.4118
"MAPK9",18.362,18.7259,20.049,18.4404,16.6134,17.8353,14.6203,16.7273,19.1708,17.7765,15.684,18.1642,13.5929,19.8602
"COL23A1",0.6505,1.5217,3.2787,6.5057,1.0244,0.7792,3.527,1.6625,1.0431,3.1887,3.4193,3.0378,0.5537,2.7579
"BCAR1",15.4074,13.5286,12.4373,13.1922,10.0117,15.5115,17.1343,13.2337,14.2079,11.6833,26.0793,16.2266,22.8112,14.6967
"FAM160A2",35.2214,29.8142,32.2912,31.647,23.5834,24.4735,25.6691,32.7823,31.6589,28.8374,35.6858,30.1367,26.2674,32.7722
"HERPUD1",59.3672,103.7989,184.6869,149.6498,68.5969,87.6689,86.2406,86.8399,59.115,86.2217,50.8573,67.0096,57.7411,71.507
"HOMER3",4.8892,4.3148,4.5774,3.8273,4.228,4.5647,6.1754,3.8632,4.5041,3.3583,5.4709,5.1704,3.3453,5.0759
"RAD51",1.9696,1.8467,1.1584,2.7025,1.0353,1.1667,1.2623,1.2644,2.1129,2.8866,1.3575,3.1063,1.6006,2.159
"POLQ",0.6815,1.911,0.8397,3.0263,0.3191,0.3929,1.0331,0.9326,0.7613,2.7603,1.2798,3.1987,0.3806,1.6765
"PIK3CB",16.5265,20.3507,15.2105,10.3841,12.6492,14.1242,10.4765,14.5553,19.1776,13.4281,12.4016,13.4393,9.9386,12.2209
"CYBA",18.1159,24.2185,32.2422,39.1918,18.1894,25.3042,52.7516,21.2843,16.4486,58.564,27.2944,35.7896,13.7537,26.0753
"THOC3",7.539,10.886,9.4815,8.3117,4.7446,3.5367,5.9889,6.618,6.3581,13.3045,4.0081,6.4904,5.0549,7.3025
"HEBP2",22.2253,19.133,23.7941,13.8285,17.0511,15.8608,14.8575,19.3944,22.3819,21.3035,16.2459,20.8027,16.5573,18.7368
"MPHOSPH9",11.635,17.1955,13.6104,15.5373,12.3564,13.1582,11.6808,13.0883,13.9003,14.9151,10.2805,16.1846,7.3183,17.0353
"PLEKHA5",58.1285,53.6482,54.4737,78.446,46.4421,66.7356,58.5493,64.3361,54.293,84.9382,38.1255,81.8421,37.5007,62.3579
"PRSS8",3.3313,20.8095,33.9311,24.9982,1.8782,3.6282,11.5095,6.6495,2.78,23.014,4.036,41.9927,2.5771,7.1036
"SIKE1",28.9468,31.493,30.7411,34.3418,24.1411,33.7235,25.2056,27.722,32.1035,31.9106,22.9448,34.0825,21.4363,37.2146
"RRP12",12.8069,8.4333,12.1147,13.015,8.3882,9.754,10.1437,11.2068,10.0789,12.9427,12.4478,21.4096,25.4898,11.7781
"FNIP2",26.8623,18.911,24.2413,21.7357,21.8353,16.7663,28.3747,20.3881,23.4278,20.8202,18.315,20.8752,27.7077,19.0872
"MSMO1",18.3464,23.445,34.7842,34.3617,18.0179,21.6004,18.9977,21.209,26.1428,35.045,24.9001,32.7671,39.7711,36.9147
"TTC17",63.3303,61.1357,70.104,68.4156,57.2928,58.786,49.6109,66.9015,70.4091,64.6879,42.6226,66.9455,55.0695,64.3015
"ALX4",1.5072,2.3572,2.0153,0.7197,0.7492,0.7508,0.4994,0.6477,4.3105,0.5653,1.9448,1.2631,0.5318,4.1114
"FSTL4",0.2541,0.3143,0.273,0.1774,0.0297,0.0915,0.1184,0.1842,0.056,0.0603,0.0471,0.1894,0.1721,0.2157
"FOXN3",56.3977,43.1829,39.9864,35.9899,54.4707,32.2337,44.986,47.0845,60.2507,39.4636,35.035,32.4616,46.2134,39.6067
"METTL24",29.9755,32.6979,33.2533,23.0262,23.1172,30.472,22.3019,28.3069,39.5567,27.2351,32.4167,23.2535,21.1945,34.0521
"AKR7A2",61.8694,52.2295,70.617,71.3268,56.8656,89.825,53.5283,63.3868,67.5449,62.6172,68.8809,67.7848,52.6011,68.0533
"MRTO4",31.8531,30.9052,40.4968,37.7677,28.7319,27.7069,24.2438,28.093,33.3865,37.8686,38.9714,43.2927,59.4979,35.3755
"NNAT",6.8959,7.1421,6.479,9.9238,5.631,12.2158,7.4722,7.9435,7.166,6.394,7.9647,9.2678,8.5348,6.6802
"USE1",18.2798,13.4923,15.449,16.4264,14.1196,14.656,14.804,19.7569,17.3197,16.3458,14.33,17.6928,20.3916,16.2354
"MCF2L2",0.7409,0.6256,1.1,0.9707,0.5773,1.1392,1.0854,1.5259,0.3655,1.2827,0.9448,3.4219,0.5004,1.4169
"NRIP2",17.0415,20.5384,18.6198,17.7058,11.5241,16.7777,12.3939,15.2428,21.5529,15.1276,17.9939,16.2227,10.189,16.1861
"LAMA3",31.9743,56.1105,53.2867,67.7051,59.0917,42.0909,45.3979,45.9845,46.2733,47.52,59.1361,71.6009,44.7271,71.3154
"AP5M1",19.6778,19.8067,20.6928,15.8076,14.7844,18.7118,13.0099,15.9473,18.2493,17.4491,12.7297,17.5323,11.8263,20.0351
"ANAPC4",37.9366,85.1206,91.9584,128.1548,32.9073,39.398,30.9391,51.4502,37.2698,88.2574,26.5293,94.1285,27.6672,73.3726
"KCNQ1",1.6636,5.7505,10.8803,5.056,2.5735,2.4619,2.4984,3.658,1.9845,4.9986,3.6637,3.3616,2.2098,4.6066
"TRAPPC3",37.7076,34.2681,37.1133,33.9139,35.1369,34.311,33.9899,30.5248,32.5443,37.7917,34.2223,34.4505,22.4225,38.6599
"THRAP3",146.0092,126.0002,126.6702,133.3077,120.0331,118.8976,122.7693,119.1656,140.2302,133.0026,114.0218,137.9102,118.2424,137.0411
"PHPT1",29.9469,29.1797,45.1189,38.6921,22.2836,40.1759,36.174,26.1367,31.5607,33.3358,40.0358,39.7197,25.3442,34.0621
"ENTPD2",0.8881,2.4369,1.7002,1.8734,0.3402,1.1634,0.9329,1.2609,1.0917,1.3182,1.3465,1.8144,0.3978,1.3159
"LY75",1.5492,3.0184,3.2458,1.9764,1.4619,1.7043,1.8316,1.7714,1.3378,3.7501,0.6908,2.4313,1.2882,1.3371
"ARID4B",55.5207,47.0038,42.0823,43.4824,44.0467,41.1475,36.5907,47.0767,48.3902,52.9446,29.2917,47.4684,46.6463,44.158
"OPN3",1.2305,1.0762,3.1977,6.6158,0.6966,1.0133,1.472,1.5323,1.5142,1.9993,0.7424,3.7274,0.7897,1.6066
"SDCCAG8",34.8278,37.3223,36.8575,32.4802,35.2543,36.7119,28.5172,33.6207,43.026,35.499,27.7613,35.0889,25.2842,33.4238
"PTPRN",0.0389,0.0128,0.0223,0.0668,0.1213,0.1067,0.1352,0.1503,0.1066,0.1475,0.1056,0.0713,0.3957,0.0235
"HHAT",9.8788,12.4273,13.0406,14.3482,8.499,11.5291,8.5482,12.7668,11.0695,11.2291,7.9766,11.8127,7.8236,11.2546
"KIF1B",59.0729,37.7456,35.9468,28.8104,46.3199,26.984,37.0699,37.6402,41.0651,33.3771,31.6766,35.1649,48.2631,39.7552
"FOXC1",12.9763,8.235,3.5187,2.2075,3.5323,6.4555,4.1887,4.4891,11.4833,2.0522,3.0939,2.6506,9.018,1.8655
"TBC1D22A",16.421,16.807,19.182,16.4738,15.6383,13.7536,17.5033,16.5162,16.763,14.9983,17.5376,17.0861,13.2788,16.0862
"SYNE2",101.5994,84.7582,76.8783,65.8236,86.3164,54.6612,143.0043,126.5643,113.9969,109.3803,55.7788,89.4621,91.9007,67.1802
"PLEKHH1",2.9525,11.016,16.268,8.7545,1.7969,3.4525,7.425,4.216,2.3493,8.6775,3.0859,10.409,1.581,6.3186
"ATP9A",65.0644,67.6846,75.1716,48.2617,47.1651,36.5893,48.3086,59.1045,59.341,55.6173,51.4784,64.5389,51.2702,47.2515
"SPO11",0,0,0,0,0,0.0481,0,0,0,0,0,0,0,0
"CBLN4",0.9123,0.5685,2.1782,3.5427,2.1829,3.5892,0.6801,0.6936,3.3374,2.181,0.8766,6.4776,0.4995,2.0805
"CHRDL2",10.3681,11.2572,3.3456,17.1296,14.1063,8.759,4.4275,5.3003,20.8718,8.7912,14.4755,12.6808,15.6414,36.2783
"FAM168A",37.3596,46.1872,43.7509,35.3487,34.6646,35.4827,31.2965,33.4628,45.0111,36.0167,40.4733,40.1695,29.3091,48.3291
"RELT",2.9453,1.483,1.3917,3.0051,2.2417,2.0425,3.3642,2.3519,1.7621,2.9955,2.911,4.7241,13.9536,1.7781
"GALC",22.6706,20.6829,22.0845,24.284,23.6565,21.7695,18.2454,23.7767,24.7048,22.9237,14.7175,23.1466,21.4385,19.8557
"NOP58",72.5197,47.4177,60.7693,72.6217,55.3458,54.1972,49.4529,72.6228,65.9848,68.595,44.0086,73.2699,121.9307,51.9339
"SZRD1",43.4625,33.3611,41.0295,36.562,34.5509,34.7913,39.1696,36.1213,41.858,34.1844,43.2948,38.693,41.7266,37.4845
"KCNH2",9.4542,11.9001,6.9589,5.9323,9.557,5.9562,9.662,6.1766,7.7064,5.4093,17.5949,6.9715,3.4375,22.7076
"CUL1",118.8346,80.3185,80.6146,74.0957,92.1868,93.6524,76.5557,88.968,99.4753,76.1933,78.632,73.7384,117.6981,81.6246
"FAM114A2",24.8322,18.642,20.8536,17.1439,18.2797,17.3547,16.515,22.1765,25.7036,21.1661,19.2912,15.4504,16.133,20.2378
"CYFIP2",9.9785,11.4929,13.2455,8.2881,10.1511,7.9497,9.1947,14.4409,13.6315,11.5867,17.3518,11.7605,12.0652,10.3228
"TAB2",64.0801,59.8387,44.0838,42.9639,42.342,52.7245,41.1042,47.5534,65.5115,45.5213,44.0053,41.2668,48.4336,51.0849
"GINM1",79.0011,64.2169,71.897,66.0657,75.0353,64.7441,62.3907,68.3924,78.806,62.0102,56.0327,61.4757,75.8983,74.7976
"EIF2AK2",48.1941,52.0512,43.4539,39.1889,41.1632,47.3993,33.7491,37.4042,58.9433,43.863,36.8999,39.0175,30.0044,49.7976
"USP36",24.7058,17.8726,16.1481,22.5128,33.354,32.0139,28.9133,38.8563,18.9695,21.0058,28.3384,26.018,67.3822,15.4754
"KMT2C",85.4193,87.9772,107.4196,110.9289,78.4674,81.1276,69.1193,80.8399,93.054,87.2756,64.5554,106.7738,92.7953,82.5751
"MCOLN3",3.9898,8.6933,13.1788,14.366,10.5144,8.6643,10.9021,14.2574,7.7184,11.1669,10.3512,18.2696,6.4214,14.1311
"CCDC85A",9.8174,9.8954,6.702,7.2799,8.8042,3.6263,4.5381,8.8541,38.1961,4.2294,5.7027,4.3007,15.5215,8.6319
"PUM2",116.0622,134.3404,78.6151,100.3017,96.989,104.4025,89.7617,120.163,139.2632,101.2871,87.4381,98.356,107.2406,110.8446
"MRPL43",22.4287,20.3375,20.8943,19.0713,20.47,21.245,16.387,22.0399,23.2172,22.9222,19.0354,19.0417,16.1668,21.3362
"ITIH4",0.3202,0.2716,0.4719,0.1966,0.0857,0.2825,0.2728,0.2654,0.269,0.2606,0.3561,0.2098,0.1578,0.29
"ITIH1",0.3285,0.0232,0.1815,0.0605,0.022,0.116,0.035,0.0419,0.1656,0.0535,0.1044,0.0861,0.0925,0.085
"HPF1",38.8944,39.9019,31.951,32.5905,35.2251,39.3727,27.8783,30.699,43.4443,38.9282,33.0528,31.3469,22.5265,47.0281
"ZFR",108.7066,91.5718,101.4773,88.7478,100.5915,87.2371,84.7365,103.5767,107.4508,90.42,66.4521,102.0984,101.8455,105.1073
"ZNF280C",10.4774,12.7796,10.3096,12.8753,10.1115,12.9987,8.9243,11.1758,10.8343,12.8078,10.3383,14.4796,8.0841,13.2119
