"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TRMO",8.9581,13.2065,13.3813,9.8214,13.2232,9.6828,6.6752,10.8014,8.9439
"RABEPK",20.5852,17.5177,23.7064,14.7939,17.2609,16.8298,12.1027,18.6573,20.5791
"GOLGA1",15.5821,25.4252,19.9816,21.1528,21.667,21.8952,25.3803,19.2431,14.122
"XPA",30.3887,47.6796,45.8581,41.4686,44.2276,43.3247,29.7891,50.2938,33.0367
"NCBP1",39.849,53.2707,36.9408,45.8985,55.8803,41.8573,41.2434,59.3146,37.0333
"ANP32B",20.6441,60.8751,45.9212,29.7463,24.5809,25.8991,45.4003,31.2517,18.4745
"OR1L4",0.4936,1.5653,2.125,0.5923,1.0561,1.0904,0.3687,1.0236,0.1164
"PDCL",21.7231,23.8715,26.6066,17.8405,22.4563,19.5196,15.3196,21.7282,21.8712
"RPL35",166.2474,142.9763,203.9416,140.6184,146.4266,143.3713,149.4004,191.4007,174.3358
"CTSV",0.3623,0.9371,1.4305,0.4891,1.0629,0.3683,0.1142,0.4226,0.3245
"LMX1B",0.0809,0.254,0.0954,0.1456,0.2337,0.1316,0.4351,0.1342,0.0687
"ARPC5L",45.0218,34.3745,48.8685,25.4679,35.4608,27.0374,16.6344,32.2886,42.9589
"ENPP2",35.4902,153.2137,108.6598,17.4531,43.9428,8.3005,12.1424,26.7191,49.3974
"DSCC1",4.4999,5.5964,2.747,4.1612,5.5647,3.8425,1.8734,4.0662,4.7545
"DERL1",14.5134,17.3812,16.1913,13.1812,17.9111,12.9684,10.6577,20.4051,16.479
"MYC",2.0718,2.0774,2.5091,1.7134,2.3721,1.6192,3.7267,4.0174,1.9614
"CCN3",17.3607,16.8142,24.1503,17.1441,16.2611,14.4459,10.034,20.6057,40.3159
"IL33",11.5517,6.3954,12.973,15.2818,12.687,17.7974,34.9041,13.4493,11.8597
"DMAC1",45.1822,30.5045,47.0747,30.2133,38.1838,31.0855,18.5019,40.816,53.1527
"RANBP6",87.6646,66.5829,70.859,44.2425,73.3172,48.7596,23.6091,79.4957,90.7434
"POLR1E",23.6239,27.5545,28.2377,20.7801,25.5635,22.7588,15.9853,30.6697,21.3036
"PLAA",24.4074,25.7457,27.481,19.6277,25.7824,19.0448,13.8144,30.4026,26.5432
"IL11RA",6.2356,13.7918,9.6356,8.9574,13.3927,11.9416,13.9465,9.9213,4.0477
"UBAP2",16.6479,20.9691,19.3721,21.8909,17.8483,20.4519,21.3017,20.3477,15.6136
"APTX",6.0561,8.3885,7.6819,6.699,8.895,7.3504,7.1669,7.7584,6.7878
"RNF38",40.647,46.1626,53.2844,44.7855,48.5362,43.3973,31.3461,51.3863,44.0332
"TLN1",35.6117,65.5398,42.0394,36.1895,52.8367,46.7847,84.9074,40.1933,33.381
"CCL21",0.9324,1.4087,1.0163,1.6782,1.3201,1.3877,2.3966,0.7961,0.0582
"SIT1",0.0774,0,0.0652,0.0696,0.0931,0,0.9103,0.2407,0.0821
