"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"RSL24D1",0.42360152389746,-0.655815269494419,0.0749869422787923,-1.2251246171413,0.0311493922471817,-1.2701654187095,-2.23211499708467,0,0.977865506317455
"SPTBN5",-0.058096950530607,-0.829853428367451,-0.319538156386645,1.27435037455693,0.523502805360256,0.97157184724295,2.45148481551799,0,-0.141360197539817
"GCOM1",0.0706840311883754,-1.80632618157663,-0.258488014765901,0.632085251894599,-1.29470117575442,0.808977718547719,1.37164639922105,-0.363368492526587,0
"GCHFR",0.163579010159984,-1.49287889978518,-0.137857985319383,0.690742074852326,-1.36165289045418,0.852186929117688,1.60130319987129,-0.322393185953418,0
"BCAR3",-0.748546643981236,-2.14615716518246,-0.32821802963332,0.235539993896286,0.159608680292662,0,0.622253209805189,1.21835980336457,-1.12694839621011
"TTLL7",-0.330163879319935,1.88272342763089,0.204958103976733,-0.75753229943168,0.901427324893925,-0.911384232564316,-1.42023760909583,0.270288052388483,0
"FNBP1L",-0.651668247575475,0.72091351755302,-0.327495165436033,0.387606401066422,1.38617097173402,-0.0873634478991769,0,2.55244780984001,-0.116038173002932
"KYAT3",0.593211598778944,0,1.46582757908229,-1.14450458558801,0.662365290846782,-0.403134424836665,-1.45764542032276,-0.304469301537461,1.18777317539505
"GTF2B",0.431622146548334,0,-0.235981600238946,-1.53846580399981,0.0512637962096082,-1.44517998673936,-2.27420495196104,0.288693044825491,0.377231448150561
"BRDT",0.121837525443773,-1.76051084693596,-0.245898990677775,0.65199876770383,-1.32532308272511,0.873692120791214,1.3472493308937,-0.341144429233855,0
"RABGGTB",-0.232921884240229,0.882952596040756,0.0697861334189422,-0.58598466655541,1.4133344884553,-0.539656076366235,-1.61177155500479,1.41581170089323,0
"IFI44L",0.520854369308467,-1.5803530102314,-0.201291828362581,0.0706576621961383,0.669014529679378,-0.620957888359,2.08613141869039,-0.236919509802492,0
"GIPC2",0.185789695911286,-2.01620513478836,-0.23262426322669,0.577628093074775,-1.00245488212083,0.8380163134061,1.29196528770965,-0.458637153949303,0
"ARHGAP29",-1.45306763145393,0.144054449370716,0.166951944658265,0,0.458324490658893,-0.309768526239543,2.10782361556304,-0.713268524740431,-0.773083669090524
"IFI44",-0.508813545161802,-0.00509642042115037,0.0931745146946116,0,2.06199007957005,-1.11029446964858,1.24318837741025,0.241211163041363,-0.886427649834941
"SLC44A5",-0.960536274616264,0.0354774013534879,-0.49639377304379,0.764180813250655,1.1019864710379,0,-2.15021259185124,0.669325449838002,-0.454980220238726
"CLCA2",0.0942813469007289,-1.87657599724434,-0.233049943155328,0.602711981467391,-1.24942467552413,0.815100428643339,1.32021913247352,-0.430579543339271,0
"DNASE2B",0.0896027858577051,-1.8104607316498,-0.378513995700903,0.595513392978996,-1.4587273547752,0.752513237441204,1.25056858268604,-0.40708478630121,0
"DBT",0,0.754658633740336,-0.352641024387233,-0.374571872092558,1.11905947992062,-0.651258724749564,-2.27908993656398,0.576895888208914,0.25222291430898
"RTCA",-0.104665109402565,0.0285838673777196,0,-1.42066430599927,0.703092758628798,-1.53245722352231,-2.27193337116263,0.00126162299457724,0.251624571967829
"IFT172",-0.597664045686594,2.07396253473684,-1.32118154563398,0.196104757209058,0.684487332073653,0.0377017715369113,-0.602499127330173,0,-0.861083445911714
"SELENOI",0,0.0167464059988697,-0.716906050807006,-1.13512819528355,0.868984829752563,-1.19693785497107,-2.07059855404015,0.295661238309851,0.838134026005093
"CGREF1",1.27115015809436,0.679422921239975,0.613828057419011,-0.126563020822113,0,-0.585540945674757,-1.0008189327953,-0.0762384614270284,2.2846883290979
"HADHB",-0.335682594811005,0.347840481180364,-0.362836916462511,0.13538710438788,0.710172253380041,-1.62592662101634,-1.72385370408768,1.32537832144939,0
"KHK",1.45209573999611,0,-1.5596342185581,-0.0306151415655759,-0.813222561884832,0.815353300022345,0.47244975563942,-0.869957909449031,1.08910520876469
"ADCY3",0,0.785794257064717,-1.04894298922988,-1.60374457478414,0.694377371554801,-1.19307541934782,-1.91374035435977,0.152904956156834,0.0116584785020993
"PPM1B",-0.4343891629609,2.05832360648319,0.205525986563626,0,1.08433501424119,-0.305113507264331,-1.34470864249348,0.423885247538745,-0.632012778204349
"PNPT1",-0.140233116920016,2.80988075164733,0.071401336953582,0,1.03686955895976,-0.0867345872233595,-0.449988681692666,0.465839682822455,-0.11314812367054
"DYNC2LI1",-0.33283757694709,1.14891741784564,0.169712006443529,-0.154591597599167,1.46889660686792,-0.455899803417283,-1.58792584642843,1.38939142958949,0
"LHCGR",0.0705841834480836,-1.82251961762155,-0.254357709146773,0.616237354306488,-1.23264329432233,0.869399889653213,1.37218049764123,-0.364074517477763,0
"THUMPD2",-0.70916857022723,1.87171075874717,0,-0.0564916705024621,1.45935372405157,0.0218688290130585,-0.700930521944178,1.26350846020943,-0.673713287311295
"CYP1B1",0.0629650942337046,-1.49737240271306,-0.417030226357612,-0.82526963504578,1.75507281684047,0.808181352439586,0,-0.0618895693508872,1.12315422865566
"SULT6B1",0.0881863585292146,-1.82316079625197,-0.254579305728182,0.563358279316519,-1.37078232422557,0.776475717691984,1.32685889884894,-0.428353326438331,0
"RAB1A",0.547669003624023,0.0647761915337321,0,-1.26883092158634,0.0135428133941783,-1.38241067113796,-2.2869703814046,-0.207669482635184,0.714420812798765
"ACTR2",0.261178834115596,-0.0615463535106143,0.984466848457966,-1.20371686550814,0.323677138755293,-1.17157810521199,-2.13063008155348,0,0.458071607832659
"PREB",1.02787434200188,1.25729438213806,-0.181567248243945,-0.50780075033998,1.10286383277943,-0.871221597819091,-0.868005544417336,0,1.78288537949318
"SLC5A6",0.517761814994634,0,-1.59480439715045,-1.12934068673325,1.0833754112599,-1.52231467931589,0.188735715949247,0.161883112387828,-1.35718430438957
