"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"ACP6",13.2911,8.014,7.0791,5.9377,5.2429,6.4707,4.4675,6.33
"WDR64",0.4261,0.767,0.5563,0.1024,0.4177,0.3331,0.4077,0.4078
"KIF26B",20.4089,12.0002,10.7904,7.8168,5.9546,9.8868,8.1262,8.2714
"TFB2M",22.3523,12.498,12.3613,13.7642,12.8868,14.1924,10.06,14.1991
"CNST",47.8636,43.5639,49.5672,37.0908,40.2563,50.286,19.8467,55.0469
"PPP1R21",45.7124,74.611,54.4366,43.3186,37.058,52.5614,66.4376,55.7447
"KLHDC8A",5.0512,6.3181,6.4383,4.6099,5.0652,6.9564,1.2896,5.8109
"PM20D1",9.1474,8.8296,8.5,11.8387,14.3741,2.3105,5.9013,8.0699
"PKDCC",76.3634,8.464,10.1911,12.2184,13.1064,11.8899,6.8239,14.5111
"OXER1",4.9624,4.9833,4.1933,3.6496,4.027,3.8492,3.146,3.5231
"HAAO",7.0632,7.5042,6.4356,7.4712,5.0818,5.3985,4.9137,4.8878
"B3GALNT2",13.1736,5.7597,6.8064,6.8716,6.5282,6.0291,4.8718,6.1647
"MAPKAPK2",55.9389,36.4704,29.4842,25.0182,15.5312,18.834,37.133,13.9115
"IL20",0,0,0.045,0,0,0,0,0.0494
"IL24",0.1595,0.1641,0.178,0.4744,0.0496,0,0,0.0391
"FCMR",1.0161,0.2851,1.4021,2.79,0.2875,0.107,0.8199,0.3174
"PIGR",34.5582,0.4704,0.8702,4.8566,0.0225,0.0209,0.4405,0.0177
"FCAMR",0.5051,0.0306,0.0796,0.0204,0.0277,0.0774,0,0.0438
"CAPN2",179.0306,53.9219,62.1832,49.205,34.6643,43.6211,45.6039,34.7668
"MRPL55",31.5756,32.7114,29.4375,33.2005,25.7862,34.1679,26.9232,32.7769
"WDR26",62.1604,47.2034,41.2772,33.7588,23.4381,38.3712,34.89,33.2351
"REL",7.9558,6.5736,5.4826,6.0422,3.3266,4.3857,6.1613,3.7227
"PUS10",5.4044,4.2864,4.0518,5.8714,3.6341,3.8708,4.3711,4.0196
"PEX13",18.9244,13.0394,11.4923,12.1592,10.4233,12.7751,12.6358,12.9371
"KIAA1841",12.9149,11.9448,10.1029,9.9314,11.9982,11.9403,10.078,11.4569
"TRIM17",12.4078,7.9204,8.9235,11.5457,10.3419,10.1104,4.4353,13.5831
"RFTN2",19.1084,55.1854,34.5448,30.4967,28.1851,31.2702,87.0619,29.2238
"DISC1",3.7754,11.7182,7.3774,7.2104,2.7504,5.1036,10.6632,4.1216
"CAPN13",4.3578,5.9841,2.3481,1.753,1.3627,4.138,10.76,3.0294
"LRRTM1",10.1733,14.1539,15.8305,15.1541,16.021,17.7848,3.1397,19.8766
"MEMO1",4.2529,4.4994,3.4553,3.7218,3.3879,3.5722,4.4277,3.3539
"DPY30",21.4291,15.1727,15.2029,17.6778,14.1333,19.2203,21.1076,17.7104
"TYW5",8.4751,6.8267,5.151,5.3988,5.2533,5.8918,7.3625,6.4677
"MAIP1",15.549,14.1292,13.4057,16.5879,12.8255,17.842,13.5849,15.121
"KCNF1",13.4043,20.8725,23.3623,15.5976,27.2197,40.9968,5.6531,35.5894
"SLC66A3",13.204,10.4851,11.8202,15.5828,7.3978,8.09,12.0276,7.6408
"ARL5A",14.371,14.8317,14.0261,17.9775,10.0718,13.0831,15.5399,12.5862
"LRATD1",10.7793,24.8558,13.83,20.0477,17.9231,22.2367,4.3852,26.541
"KCNJ3",24.0362,30.858,34.6464,29.7306,42.1864,53.0326,6.8689,53.5484
"NEUROD1",0.8465,3.9912,1.0392,5.3264,2.7666,1.8079,0.3228,4.181
"CLHC1",7.2393,8.4411,7.8815,7.3722,6.0943,8.4497,7.3549,7.9425
"FRZB",18.1941,8.6604,19.4775,31.3591,6.4455,5.1994,6.4739,5.9928
"DUSP19",2.7384,3.8231,3.9688,4.6456,4.0001,4.6391,1.8392,5.8902
"CFAP36",44.1085,49.7359,54.9581,50.1948,58.6582,66.8728,31.1674,64.4636
"NUP35",13.2793,8.3361,7.5094,7.5182,7.689,8.8339,8.9396,9.0456
"CCDC138",6.7529,7.2829,6.3575,5.1338,8.306,6.4659,9.093,5.9208
"ZSWIM2",0.1906,0.2353,0.3063,0.471,0.178,0.3312,0.1586,0.5052
"FBXO41",39.9942,48.7983,58.0923,39.1134,43.2106,69.1608,6.1928,56.6713
"ACTG2",5.8529,0.3408,6.5815,0.9286,0.0773,0,0.2757,0.1016
"WDCP",9.434,8.614,7.701,8.9391,6.4737,8.3139,11.5598,8.7674
"SMC6",18.7318,16.0193,13.8057,13.9974,12.751,13.6215,20.9599,15.329
"VSNL1",237.3857,334.4138,370.7755,353.7339,393.6399,492.3583,30.9533,578.9245
"CCDC74A",4.2059,4.3617,6.5029,5.7505,5.3323,3.743,1.6787,4.8337
"H3-3A",24.3925,16.3512,13.6087,17.8006,14.6884,14.5016,23.1109,9.8806
"ANKRD30BL",2.6798,6.3886,4.6144,8.0441,8.3015,4.6192,0.8848,10.7734
"COQ8A",1.1552,0.9827,0.6694,0.61,0.8091,0.8878,1.0906,0.7033
"SLC16A14",11.5839,16.9857,15.8711,18.3483,18.4265,23.3888,7.0826,25.9945
"TEKT4",0.19,0,0,0.0978,0.0887,0.0825,0,0.1749
"EN1",0.0368,0.1516,0.0247,0.0506,0.1032,0.032,0,0.0271
"SGCB",35.7557,75.0043,57.2796,43.2038,32.8019,55.2668,71.4357,44.2607
"SPATA18",1.9457,2.1538,1.6569,2.0904,1.1652,2.0761,0.8623,2.0865
"NOSTRIN",14.3748,11.0957,11.1295,5.5047,6.8519,7.2281,7.7404,7.1443
"CFAP221",13.175,5.7172,6.5603,4.4133,8.9751,6.4471,1.2513,7.9672
"SGPP2",79.1803,15.0091,18.1548,12.3631,23.029,18.4168,4.691,17.1005
"INHBB",5.5134,5.199,7.9334,7.524,5.0564,5.0179,3.1403,3.0203
"XIRP2",0.0868,0.0162,0.0106,0.065,0.0663,0.0069,0,0.0116
"BBS5",5.6144,7.5057,5.3662,7.0626,6.1665,6.0808,4.8157,6.6284
"SMARCAD1",27.7828,33.5522,29.0617,31.2888,25.4296,29.0012,38.0808,31.0818
"HPGDS",4.4359,5.5374,2.8035,14.198,0.9774,1.1258,8.6676,1.3578
"PDLIM5",22.9594,25.8631,35.7996,26.1014,17.1247,18.858,18.9619,19.5095
"PDHA2",0,0,0,0,0,0.0666,0,0
"STPG2",1.0909,1.1401,1.4379,1.0935,1.2451,1.5495,2.2189,1.3514
"NEURL3",0.8437,0.5642,0.8193,1.1294,0.7091,0.5864,0.4563,0.6212
"RPRD2",31.5958,32.4655,28.3581,19.8862,18.0125,28.0659,21.521,22.4381
"ANKRD23",1.795,2.5324,1.2364,1.5314,1.0057,1.3812,2.7312,1.1328
"CTSS",55.67,33.4727,38.8363,102.3629,17.0142,13.2696,34.9887,9.5333
"MSX1",6.4488,4.1845,12.5897,12.4285,4.6785,3.8355,2.1464,3.5792
"PACRGL",11.797,15.2912,13.5571,13.6249,15.9689,15.6561,16.5693,18.9805
"BNIPL",1.6021,1.1935,1.3318,1.2893,0.8512,1.7278,1.448,1.0779
"C1QTNF7",3.6254,2.6755,2.6256,2.2316,1.7663,2.9441,3.1641,2.263
"TNFAIP8L2",8.4499,16.0763,10.7083,20.4566,5.7693,7.9723,15.4228,6.2213
"LYSMD1",16.7807,19.2475,15.5913,14.3407,13.7892,16.692,17.2092,14.3008
"SCNM1",14.7958,12.4019,10.8576,14.2054,9.6924,12.2938,17.8634,10.4901
"TMOD4",2.4548,1.0571,1.3762,1.9985,0.6397,1.6863,1.1401,0.7986
"VPS72",45.1596,44.8748,37.1674,48.7294,41.1206,44.5729,54.9873,42.0401
"ERCC3",22.2637,26.3639,22.0363,21.0947,15.9776,22.5362,23.5207,22.1013
"RNF149",22.9552,23.0857,19.1683,22.9981,20.8818,18.9298,20.695,18.5882
"IWS1",52.379,60.3044,34.2932,41.0406,31.8962,35.6494,85.7098,31.9502
"BOLA3",4.1785,4.1927,3.3485,4.4433,6.2684,4.4631,2.4224,5.9007
"CDC42EP3",17.6449,5.4204,7.8559,5.5739,5.3837,4.8803,1.9154,5.7143
"S100A11",230.2081,58.7036,68.5016,127.5286,21.0423,14.2249,51.7997,9.6682
"IVL",0.3422,0,0,0,0,0,0,0
"SPRR3",0.073,0,0,0,0,0,0,0
"DHX57",17.9596,18.8682,17.5235,15.2222,14.3835,17.8461,13.7378,17.249
"BMP10",0.244,0,0.0467,0.0359,0,0.0303,0,0.0128
"PGLYRP4",0.6018,0.0476,0,0,0,0,0,0.0341
"ARHGAP25",7.3012,12.5114,11.258,18.3851,6.2975,5.4583,14.5485,3.8054
"S100A9",51.5975,30.7893,29.2643,50.7947,476.1511,27.9161,38.9607,23.1179
"S100A12",0.8678,0.6695,1.1622,0.5956,20.2573,1.5077,0.5415,0.4792
"TGFA",6.8688,27.0091,9.1132,10.8399,8.9716,13.8493,58.3824,13.7852
"TDRD10",5.0158,1.3199,2.0309,1.0943,0.9803,0.608,0.6471,1.3741
"CCNYL1",23.8281,14.3255,13.2619,10.096,7.3889,12.7583,13.6519,10.648
"FZD5",28.8634,8.6569,3.263,3.6321,2.8334,4.48,15.5716,3.9839
"CRYGC",0,0.8631,0,0,0,0.2916,0,0.1235
"DCAF16",28.9035,42.3859,29.7857,30.8172,28.4585,34.6376,53.3171,35.966
"C1orf189",1.7172,0.6423,1.2544,0.9644,0.7288,1.3562,1.0391,0.2299
"NPPC",1.1745,3.1212,1.9662,2.8217,1.8279,2.2958,0.8958,1.3692
"GNPDA2",8.9088,12.8544,11.3065,11.1095,10.6472,12.3123,11.6713,13.5478
"ALPP",0.3301,0,0,0.0252,0.1027,0.0319,0,0
"GABRG1",13.6384,25.0487,35.4259,24.9324,41.2153,28.7958,15.4159,38.7097
"ALPG",0.2533,0.304,0,0.029,0.3548,0.0734,0,0.0933
"GABRB1",39.7051,85.4658,100.934,76.968,54.8152,86.2033,15.7478,103.2344
"PAQR3",5.3358,8.6567,7.7767,8.2569,7.9055,7.6349,8.9573,8.4254
"NIPAL1",1.02,0.4161,0.5535,0.4828,0.4105,0.5958,0.0878,0.5826
"ALPI",0,0,0,0,0,0,0,0.0462
"ANTXR2",6.2856,3.8817,5.8209,8.0158,2.8071,2.1824,2.5626,2.8092
"HELQ",13.0668,16.5618,15.564,14.4366,14.1867,14.5283,17.1934,13.5648
"MRPS18C",2.9839,3.9815,3.1854,4.512,4.3006,4.5458,4.9117,3.1203
"CGGBP1",39.2005,31.5168,31.5432,31.1318,22.548,31.8362,32.0832,27.0164
"ABRAXAS1",2.2276,2.5445,2.8277,3.1988,1.9269,2.0302,3.4,1.9822
"GPR155",21.479,43.7313,36.2753,45.1142,36.7624,51.8147,22.6502,52.358
"DAPL1",0.1588,1.7154,1.8611,1.1992,0.2224,0.5519,0.6607,0.6431
"PMVK",38.0117,54.6574,43.0328,52.6887,49.124,55.9196,53.996,45.9998
"PBXIP1",131.1429,143.9288,204.3051,173.4746,147.5378,119.1283,99.0501,113.2508
"CLDN1",2.4651,2.0585,1.4953,1.712,2.031,2.6202,1.0859,2.3701
"PYGO2",34.4016,34.7391,28.0746,25.9005,18.5824,28.0901,27.3823,24.821
"HIPK1",60.8884,68.5991,81.192,59.89,49.7039,60.0309,57.7649,59.9618
"LENEP",5.4769,1.4827,1.6407,2.7701,2.0188,0.7513,4.3174,1.804
"DCST2",2.6381,0.6344,0.78,0.8231,0.4479,0.506,1.3399,0.782
"DCST1",1.0874,0.2373,0.331,0.5202,0.4,0.3149,0.6306,0.3639
"COL6A3",22.9727,1.9517,6.794,35.1406,0.7622,0.7138,0.895,0.6606
"INAVA",41.6053,2.1886,0.8047,1.5145,0.8462,0.907,1.9178,0.6672
"YY1AP1",55.8579,43.1554,39.56,41.4325,33.8298,42.1111,46.1805,42.0707
"KBTBD8",4.732,5.0278,5.0729,6.1456,4.4809,5.7707,3.2349,6.33
"TAFA4",1.4546,3.0924,2.2728,2.2188,2.5354,2.415,9.9516,1.7611
"EOGT",15.7675,12.8712,13.0274,12.7616,10.9693,10.5461,9.3829,9.3565
"LMOD3",1.1178,0.8517,1.4,0.9662,0.9085,1.1329,0.9128,0.6401
"NAXE",60.7448,64.5601,56.1677,52.8679,49.6068,50.6441,63.6334,70.2517
"POGLUT1",10.1912,10.1011,9.0959,10.0285,8.9885,8.6468,10.671,8.2044
"SLC22A15",22.4107,54.5173,28.3585,23.8823,19.4932,30.0354,75.884,30.6661
"CCKAR",0.1205,0.3719,0.5649,0.455,0.2814,0.8376,0.0501,0.7099
"IGFN1",0.686,0.1608,0.2791,0.5782,0.2432,0.3998,0.1301,0.8247
"ATP1A1",201.9858,118.2892,101.5542,78.375,94.5756,117.3183,56.2192,108.315
"SLC15A2",20.8355,28.4876,37.9948,41.4575,35.9728,33.3299,28.88,40.299
"EIF4E3",13.6289,13.3691,13.5527,10.705,12.1446,16.1532,7.4927,15.8758
"PROK2",0.3914,0.2013,0.3494,0.3582,2.8628,0.6233,0.8141,0.7204
"TEX55",1.2857,1.0471,0.574,1.3974,0.3001,0.5585,1.159,1.4199
"LRRC58",25.2074,26.9151,21.4802,21.2524,14.7533,18.2972,34.2868,18.1972
"FSTL1",35.9,18.037,27.5765,34.8698,17.6955,11.0438,10.3191,12.7996
"LMOD1",12.4656,11.2955,15.8246,8.2836,6.1173,8.5023,17.324,8.3382
"ELF3",50.4404,0.2561,0.2255,0.1307,0.2188,0.3053,0.2315,0.1186
"PDCL2",0.1169,0,0.1566,0,0,0.2031,0,0.0861
"TMEM183A",36.9998,32.8349,34.4601,31.6037,40.3649,41.1527,22.483,43.9698
"TMEM169",6.2642,9.1886,9.341,6.9076,7.9887,9.5739,7.2634,10.0141
"IGFBP7",194.2385,131.1154,94.9874,108.4822,62.8176,26.5217,57.6993,30.2636
"TRIM46",14.53,11.6281,9.1081,8.492,11.1404,12.5423,6.7983,14.765
"KRTCAP2",3.4483,1.7595,1.3301,1.7421,1.391,1.6057,1.8363,1.4218
"CXCR1",0.599,0.4842,0.6303,0.2937,6.7523,0.4832,0.8901,0.8821
"ARPC2",78.0673,49.9724,51.9307,64.5838,32.875,45.2607,33.9169,44.7788
"TSACC",2.076,1.6502,1.5165,1.0364,1.1455,1.8855,2.1985,0.9032
"CCT3",121.8793,102.5765,91.3882,107.0616,87.3654,104.6051,115.5964,104.7705
"TMEM79",6.3157,4.5693,4.0433,4.8592,3.856,4.2206,7.0453,2.9637
"SSR2",49.8594,14.8593,13.5227,17.3841,11.4472,12.2736,15.2611,12.8623
"RNF25",23.598,29.1534,23.6845,27.0353,24.7964,27.6251,29.7084,28.0945
"STK36",22.8143,17.3445,18.5942,17.0563,21.028,16.7137,10.8768,15.7345
"ADORA1",24.6782,61.9812,41.5405,38.5665,32.5149,46.7822,69.9791,34.6385
"NEK10",6.6981,8.483,8.3823,9.5874,11.7504,12.0004,1.5258,16.3629
"CCDC141",7.1319,1.6047,1.3502,1.1035,1.4248,0.6983,1.7457,0.5617
"FEV",0.3338,0,0,0,0.2494,0,0,0
"CRYBA2",0.3616,0.2232,0.6295,0.1489,1.6206,0.8795,0.0602,0.3194
"IHH",0.0851,0.2626,0.1424,0.2336,0.0397,0.0739,0.1062,0.2506
"CIP2A",12.9453,7.9334,7.5159,7.1371,6.687,6.6999,4.9847,6.7765
"EOMES",0.777,0.1184,0.5396,1.0272,0.0269,0.15,0.0479,0.0848
"CWC22",32.1258,30.2222,30.2496,29.5322,28.6324,30.918,30.3085,30.3354
"AZI2",8.3541,8.939,9.1215,8.8204,10.4326,11.3819,7.8306,9.9178
"TGFBR2",64.3423,39.0909,42.6334,41.2138,9.9395,16.3062,33.1272,11.8742
"RETNLB",0.2854,0,0,0,0,0,0,0
"ANKZF1",30.6525,24.8108,19.5447,16.7685,22.4249,19.5751,38.7312,17.0086
"HDAC11",27.7569,85.5573,46.104,47.4391,44.2313,50.1497,137.6048,45.5965
"FCRL4",0,0,0.0181,0,0.0253,0,0,0.02
"TRAT1",0.8568,0.0441,0.2582,0.6763,0.04,0,0,0.0315
"FBLN2",22.9953,5.0321,17.0948,66.6005,5.2611,6.659,3.5978,8.7144
"GLB1L",6.7702,5.6982,6.6561,8.196,3.3908,4.4914,5.3517,3.7611
"STT3B",59.9846,57.1443,48.3732,56.0346,34.7773,54.394,54.249,55.8783
"CHCHD4",17.7535,16.2474,14.6319,17.8516,20.4036,22.2839,14.9699,19.3663
"NFASC",61.2463,192.9458,99.1269,53.9617,43.1541,84.3536,146.8966,58.0798
"FCRL1",0.1598,0,0.1249,0.1646,0.5721,0.0694,0.0443,0.0588
"SGO2",6.277,2.8869,2.0238,2.0859,2.1089,2.2361,2.8464,2.0418
"SERPINI1",91.7169,235.0849,196.4682,222.265,257.8547,345.0462,178.8788,347.8653
"CLASP2",68.057,153.751,105.9012,95.9143,97.1049,132.716,209.0389,126.1215
