"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"FCGR2B",1.3291,1.7986,0.9588,6.2793,0.5981,2.9299,1.5,10.6314,2.8116,0.5697,5.7158,1.1954,0.9806,0.1797,1.7782,0.874
"NFATC3",22.664,19.3693,19.0729,22.8899,19.5936,21.3665,26.2003,23.388,21.0808,17.306,16.2511,17.8197,17.3969,22.4004,17.1264,21.5477
"TRNT1",17.1723,16.4241,21.8632,19.4789,13.6985,18.0976,17.1945,25.4243,18.791,15.981,20.1773,17.2463,15.4765,15.9517,16.1081,14.3258
"ACADVL",287.1696,352.2176,358.755,336.0402,314.8539,323.4939,269.3476,346.1585,323.2784,326.547,385.1949,298.3536,321.4553,258.6952,336.7129,274.093
"STK10",8.1661,9.4658,9.85,15.8279,5.9855,11.6721,8.4262,25.0355,11.8608,6.0444,17.5361,8.2424,7.231,6.2357,9.1767,7.1045
"FBXW11",68.4766,60.803,75.1429,60.75,57.5024,58.7393,53.3176,76.2018,59.1554,62.4646,66.8958,60.3781,67.0418,52.8763,55.2488,54.3722
"ACAP1",8.5079,5.8017,5.807,9.9803,3.8537,6.4,6.4215,14.4672,7.362,4.7233,7.0044,5.5739,4.3746,5.2901,5.6447,5.8465
"CRMP1",36.2788,20.2087,25.1413,21.5121,13.5324,27.0161,20.0153,22.7861,22.9531,25.3627,30.315,16.0862,15.8135,29.1163,21.5509,27.3143
"EVC",138.9115,81.9011,102.2672,81.4628,56.9602,96.6493,76.1589,73.1332,84.4438,95.2136,103.6286,67.7509,63.738,111.6323,93.1563,108.8778
"DERL2",21.1001,17.7977,21.4123,21.8097,19.4945,19.1772,19.4085,29.4905,21.5549,19.2586,20.1682,20.7846,22.3968,18.8856,17.874,17.9967
"SIDT1",2.1739,2.4524,3.5142,4.1303,1.8671,4.1488,2.8546,6.2404,3.1392,2.7803,4.8617,2.9763,2.6843,3.2067,2.7368,2.1251
"NDE1",4.7463,3.5851,4.3628,4.6415,2.4935,4.3286,3.7782,7.1125,4.4963,3.3046,5.2603,3.1666,2.5843,3.5767,4.1448,3.8118
"IRAG1",14.7493,15.282,12.5458,19.4915,10.5558,20.5656,12.7918,28.4549,21.224,11.9051,22.0886,12.5259,11.9473,14.8532,11.7911,13.1721
"TMEM38A",13.2309,8.2276,14.6559,9.2109,8.5679,11.7494,7.7266,6.6025,8.0437,10.1476,7.4968,10.2972,7.4139,10.2394,9.9433,10.4858
"AP1M1",14.5886,17.466,10.8224,14.3485,13.8556,12.0209,14.162,9.7268,16.1949,15.6443,11.1588,18.3304,14.8409,16.4487,18.2782,17.7723
"PVR",20.7219,18.2425,23.0772,26.7059,14.9658,19.0031,17.3122,33.5112,19.8489,18.6916,34.4502,20.9526,14.4392,19.1311,18.724,22.0391
"XRCC1",19.0196,13.133,17.4235,15.1244,11.6472,17.2652,17.4394,17.5818,15.4412,14.9913,17.4538,14.8035,15.9969,17.0579,15.3552,17.5105
"SCARB1",5.6562,6.1183,4.5865,7.0871,5.1094,5.8779,3.7797,6.6385,5.8855,5.9006,5.3415,5.5295,6.0253,5.5598,5.1923,6.1533
"CYP2W1",1.3787,0.8456,0.4631,0.7674,0.8605,1.288,0.8803,0.6319,0.5279,0.8673,0.6344,0.8057,0.5435,1.4992,0.7647,1.3056
"MCM2",5.9776,3.728,8.9008,4.6821,5.014,6.1192,3.9001,6.2231,4.3746,4.4866,7.2234,3.9174,4.9541,3.6977,4.7904,4.9684
"MOV10L1",0.8324,0.3908,0.326,0.3236,0.4696,0.3028,0.6934,0.0933,0.2144,0.3982,0.2122,0.7947,0.4746,0.6379,0.5823,0.909
"PANX2",4.5582,3.8027,2.0273,2.7874,2.5154,3.3229,3.1431,1.6277,2.8123,3.2222,2.8195,3.4162,3.9839,2.8574,4.8145,6.5149
"SELENOO",52.815,54.3777,39.9332,39.4613,42.6546,38.9116,33.5229,31.1788,43.6446,49.5276,30.413,51.9296,44.4835,53.4596,52.2707,58.4534
"TP63",0.2225,0.6855,2.0395,0.7269,0.3914,0.3921,0.5774,1.4685,0.4091,0.2674,0.4874,0.2899,0.6186,0.4529,0.4875,0.4872
"ALPK1",13.787,11.6989,14.3113,15.6715,12.2202,14.5433,12.9922,22.4066,13.516,12.6456,23.7611,10.5873,14.1024,9.8607,10.9009,11.4665
"LLGL2",68.6445,47.4076,63.7172,54.7636,51.1145,53.2502,40.7462,44.9368,52.4048,53.9819,64.4285,53.8451,42.3001,64.3003,59.3874,63.8668
"PDE8A",52.2087,78.3168,41.3867,59.0324,46.3205,41.7673,53.3073,57.8734,65.2325,76.8045,51.7774,65.9897,56.6053,53.4845,63.3269,81.3098
"CLCN4",10.5074,10.8044,12.8773,9.7602,10.3911,10.6206,8.083,8.0148,9.8914,14.1126,10.5916,9.8128,14.1611,11.6726,10.9597,11.7718
"NLE1",8.719,6.9561,7.1616,7.9891,7.5256,8.3971,6.2687,7.541,8.6319,7.1702,7.4001,9.0795,8.0342,8.3885,7.0327,6.735
"SDHA",14.5946,12.6731,13.1156,8.759,10.6004,8.7312,10.0569,12.6862,13.318,17.1228,10.5282,12.3141,12.4598,11.6163,13.4731,13.9869
"SMARCE1",4.9045,4.657,6.9239,5.0084,3.8724,4.9629,5.7238,9.8703,5.0438,4.8378,5.374,4.4915,4.7467,4.2612,3.9046,3.5419
"FNDC8",0.2308,0,0.0637,0.3656,0.2776,0.1399,0.1652,0.0593,0.1677,0.1557,0.077,0.297,0.0561,0.2211,0.1315,0.1283
"GSDMB",5.2309,5.664,8.5811,8.6349,5.6812,6.0074,5.7114,9.9652,6.084,3.6716,6.2263,4.7056,3.0182,5.247,4.3672,5.7597
"KDM5A",55.5067,46.6926,55.7788,59.0976,44.2229,52.5163,51.785,81.4223,56.4258,48.8302,67.753,47.0401,47.3426,43.9365,47.5633,47.4238
"ADAM11",0.5402,0.541,0.6446,0.5648,0.3898,0.6093,0.4331,0.9494,0.8241,0.5685,0.5194,0.5173,0.3309,0.7038,0.388,0.5949
"PPP2R3A",80.3691,72.5861,78.3384,64.8514,48.4623,59.1276,63.7677,83.7427,69.1638,98.2568,113.9601,64.3697,70.9498,59.4425,78.2328,71.1929
"FERMT2",54.8826,65.5017,48.1536,56.3661,55.6471,43.6378,50.0379,67.0398,53.5391,82.9732,48.1693,65.4757,60.1219,54.1388,52.2639,64.0234
"ABCB11",0.0404,0.0844,0.1452,0.2349,0.0097,0.1104,0.0579,0.0623,0.0734,0.1228,0,0.0208,0.059,0.0904,0.0346,0.0675
"DHRS9",0.6656,0.4557,0.1838,1.0105,0.2602,0.8829,1.0125,1.6461,0.9067,0.3929,0.4999,0.2142,0.4854,0.0531,0.5691,0.1388
"CD5L",0.0842,0.0989,0.2443,0.2002,0.0608,0.1149,0,0.7468,0.3672,0,0,0.1952,0.1536,0,0.1801,0.0351
"PTGS2",7.9211,8.2536,21.2125,11.7498,13.6131,10.0975,9.8418,12.7905,10.4614,1.7391,14.6982,6.2538,4.0477,6.1876,4.8305,2.6696
"IGF2BP2",20.3711,19.9855,14.2602,20.1993,16.1929,12.3526,17.1248,18.3803,16.6702,17.9096,15.1833,16.6792,16.0218,21.4204,19.3031,24.352
"MAP3K13",23.1041,23.9211,16.5459,20.8156,22.0614,17.2247,25.1454,19.489,20.1685,27.539,16.1965,30.3988,21.9686,29.2379,21.6525,20.1279
"ST6GAL1",39.7823,60.5398,176.1951,58.0209,30.3449,48.0795,50.5486,73.0748,64.1421,64.506,49.2537,63.9244,34.333,34.0668,94.8541,58.2386
"TBX21",0.4358,0.713,0.6894,1.6318,0.4289,0.8649,0.624,2.7487,1.1225,0.3208,1.23,0.3365,0.3178,0.3795,0.542,0.4958
"FRY",27.8595,17.0118,42.6444,19.8069,16.2745,19.5647,18.8218,29.7509,20.5359,21.8844,28.1046,17.7424,21.3818,20.7526,14.9716,17.797
"PICALM",202.1817,199.0031,201.4296,218.7929,191.3421,155.5882,195.6214,269.6581,221.303,217.7278,224.1714,210.7341,219.1496,195.8419,180.3162,181.8832
"NSF",20.1354,21.2995,27.2732,20.721,17.8892,20.5637,16.1543,25.4844,22.4626,20.2712,21.4758,18.1474,25.6084,18.7109,18.4778,18.8086
"GLI2",0.9969,0.8433,0.6698,1.8566,0.5541,1.7155,0.839,2.7727,1.3359,0.818,1.7404,0.7282,0.7564,0.9291,0.8409,1.034
"CLASP1",60.4086,47.5351,47.7467,46.762,38.9212,47.7091,49.1977,57.5203,49.0888,52.0219,57.441,38.7407,46.8655,50.1724,42.6862,51.2992
"MRPS34",78.6679,56.1144,67.0781,56.7262,80.6861,76.6651,64.8368,62.6965,65.9028,70.0677,53.8889,70.5264,66.3254,61.4904,63.1101,58.636
"NOTCH3",31.0855,15.7166,14.674,21.9593,12.7876,25.5697,13.9119,17.4263,26.3213,22.81,27.854,12.8212,14.083,21.8989,21.456,21.9764
"CLNS1A",38.958,35.5103,47.405,40.2248,38.8768,35.4351,38.9882,53.4637,40.5482,38.0917,39.9244,37.1297,40.2461,40.4069,34.2419,35.7958
"PPP2R2C",0.0666,0.2259,0.1196,0.3782,0.2083,0.2828,0.0636,0.3081,0.2541,0.2135,0.0778,0.0857,0.3077,0.0638,0.2184,0.176
"TEAD2",15.1116,9.7762,22.4982,14.7609,7.8576,18.475,11.9669,23.8625,14.6799,9.7123,29.5334,10.8065,10.4089,8.3913,11.3692,10.5396
"EED",11.8409,10.4127,11.685,12.8032,7.8501,10.395,12.2278,17.1598,10.7222,11.0086,12.8222,10.7478,8.7126,10.8158,10.2158,8.7565
"CDHR2",50.5812,62.2958,21.3666,29.1573,51.3201,26.3025,35.3038,14.9755,46.6424,47.0538,11.1203,48.6379,47.8752,55.01,46.4408,49.189
"SNCB",0.0518,0,0,0,0.0374,0,0,0,0.1129,0,0,0.04,0.0378,0,0,0
"TSG101",44.8394,37.944,62.8273,40.7238,49.1688,41.4227,45.3436,55.5642,43.9886,49.1622,46.1343,46.7218,47.3841,40.9926,42.2628,37.3092
"NCBP3",18.0802,15.4904,16.7316,18.1983,12.0478,16.728,16.5185,25.6847,17.5002,16.5949,20.7812,15.6468,12.731,15.2551,16.8666,16.3386
"ATP2A3",5.5826,4.5688,14.6397,9.3691,3.0595,7.9597,3.0782,10.8862,6.478,4.5958,6.2858,3.3437,2.6296,3.4832,5.5602,3.8894
"CA12",533.3093,533.9165,259.2163,375.7079,604.3291,407.748,333.2261,325.2253,422.169,511.0259,111.7291,446.0858,439.6301,491.3077,552.6187,649.2163
"MGLL",48.5996,52.3055,33.9568,43.1716,37.8388,53.6094,30.1783,39.1882,38.6413,48.7904,48.1432,32.7221,47.4985,33.9848,56.9388,50.0554
"NTN4",179.7691,132.4032,271.379,177.0138,161.7583,154.9309,171.1578,268.9942,134.5704,168.1286,318.4734,176.1979,151.1243,192.3352,126.0829,114.1723
"BCS1L",25.4233,23.7942,25.0187,24.7926,23.1881,23.4043,19.5874,23.9393,25.0209,21.8964,26.9091,23.7904,23.9932,21.6115,21.2376,22.8524
"NUAK1",14.0984,9.5567,19.4166,19.9704,7.9356,17.5614,13.5238,24.664,16.7863,9.4463,24.6116,12.4564,10.573,9.2262,9.6182,9.6196
"DPP8",33.0511,30.1966,29.4116,31.7926,28.5473,25.8935,28.5448,40.6225,31.9319,31.4986,34.099,28.4076,32.4127,27.1235,29.7401,27.7765
"SLC24A1",11.7008,8.376,13.025,10.0111,8.0553,11.4029,9.548,12.0819,10.5672,9.2803,12.1306,10.1224,8.9332,9.8923,8.957,10.7068
"ZNF532",19.8907,16.2283,21.225,21.8444,11.1739,23.8705,18.6029,35.9718,20.065,14.9443,29.472,12.9131,14.3112,16.2737,16.6062,18.1511
"SCARF1",12.6698,8.8304,9.9768,11.3476,7.72,11.6386,9.5502,10.3001,10.332,7.3872,11.638,8.3903,6.9446,8.781,7.1025,10.7972
"LMAN1",123.1914,110.1875,137.9519,93.0809,112.0317,90.7164,109.2707,118.6691,106.7225,125.4805,84.7813,113.0125,122.6062,102.2186,93.2313,95.6814
"HACD3",86.0278,77.6719,129.8465,71.5051,83.8949,73.4213,60.7856,77.5814,75.805,90.9443,73.6004,74.6698,98.729,68.5749,73.1801,72.0124
"IPCEF1",5.4983,7.9034,6.8237,5.0159,2.9315,5.8607,4.1381,7.2185,5.7642,8.1226,5.2605,3.0895,4.9671,4.5968,6.6321,7.4332
"ZZEF1",38.5228,36.4271,27.4072,36.531,28.0872,32.8541,31.3394,37.6828,38.9614,35.7511,32.9085,30.7117,30.7552,37.0146,37.9081,41.4971
"NOX3",0.1576,0,0.1306,0.0416,0,0.0478,0.0376,0,0,0.0532,0,0.0811,0.0766,0,0.0449,0
"ENO1",682.2515,491.3204,1046.8119,498.4746,607.8571,683.5968,480.1697,523.6981,563.2706,593.1194,822.3451,627.6324,713.4587,459.0292,549.639,534.346
"SLC12A1",1417.7614,313.3063,1407.5658,120.8849,542.0962,1471.6162,596.2942,347.6855,844.2079,768.1626,147.6873,257.6179,836.9237,529.6332,200.1384,298.8221
"MYDGF",42.348,40.4936,46.5967,38.4739,36.1321,45.2026,31.9644,42.725,41.6003,47.3923,41.1624,42.2215,38.5104,30.0069,34.8775,29.4056
"ANO8",6.2962,6.7476,6.6633,8.0481,3.9137,8.3162,4.3435,7.6565,6.0459,5.993,8.1367,4.7013,3.7428,6.7678,6.1119,6.9514
"TUBE1",14.2788,13.3313,14.2998,13.8084,12.5596,13.0676,15.0433,18.5746,13.161,13.1279,13.4472,12.1815,12.1032,11.8786,9.6741,10.455
"ARHGEF10L",74.2159,46.9294,51.6252,52.6823,59.6516,55.909,51.1339,33.8961,63.9327,56.6985,59.8548,55.0157,51.9554,68.5754,63.915,61.9901
"TXK",6.6914,6.3392,4.9726,9.1975,6.6259,5.5131,6.3796,13.3693,9.7441,5.1621,7.3322,5.6072,5.7766,7.6458,6.3884,5.7574
"WSCD2",2.0831,1.8473,2.2503,2.0532,1.6369,1.5158,1.8999,3.3424,2.3541,1.5459,0.6954,2.5379,1.9241,2.7789,0.8048,2.4716
"KCNQ2",0.0244,0.0064,0.0067,0.0064,0,0.0148,0.0058,0.0188,0.0089,0,0.1712,0,0.0178,0.0156,0.007,0
"TACR2",0.6763,0.1949,0.2064,0.6766,0.1541,0.4856,0.3057,1.1798,0.5818,1.1526,0.4634,0.7146,0.4153,0.6137,0.4869,0.5939
"ACTR6",18.1655,22.3451,20.8602,16.8938,19.545,15.456,19.1347,22.3919,17.2391,18.4657,19.0934,18.2182,18.7562,16.0164,13.643,14.8131
"TIPIN",4.7084,3.6247,10.2253,4.7217,4.1375,5.2496,3.9685,6.2051,4.6342,4.0346,5.9321,3.7236,4.1257,6.4744,3.831,3.5795
"SRI",30.098,25.2643,44.1278,25.3592,25.6798,28.6522,25.4919,46.326,27.8369,29.9351,26.1739,25.5783,27.0986,20.6983,25.1454,22.2551
"EIF4G3",34.9093,36.1092,67.5413,48.8611,26.7244,40.043,32.3448,56.4343,39.789,33.0128,57.1021,31.9606,32.9331,33.0043,35.983,31.8351
"NUP37",12.8213,10.4054,11.5625,11.6428,11.6406,9.7092,10.0319,13.7906,10.7548,10.4703,11.5262,9.3938,12.5241,10.3967,9.8153,9.4026
"SEMA3A",0.3819,0.457,0.8656,0.9341,0.6728,0.991,1.0131,2.511,0.9425,0.6024,1.1249,0.4597,0.557,0.495,0.7011,0.3467
"GTSE1",0.6574,0.3364,0.3771,0.7611,0.3102,0.46,0.362,0.4873,0.3858,0.3582,0.861,0.2343,0.5163,0.3391,0.3892,0.3164
"SEMA3C",19.3511,12.9536,34.7104,30.1137,16.6834,20.4391,14.5238,42.0692,16.1452,22.7918,28.9752,19.9979,16.747,18.6185,21.5313,22.9422
"TTC38",190.5049,216.1792,98.1457,138.3639,215.6286,122.278,171.684,92.5151,171.9619,359.4195,86.6296,195.0899,515.7682,212.6158,188.9081,220.2276
"ACAT1",212.8941,188.2253,132.5597,99.3565,227.108,112.2623,174.0925,87.491,185.958,215.1548,95.5287,220.3835,232.6247,220.8258,189.7576,192.8607
"GRAMD4",25.9527,15.8238,27.6761,20.9254,15.0989,21.1352,14.1881,25.5835,22.1993,23.4286,31.3034,22.0882,16.0934,19.3925,18.0352,19.4201
"CELSR1",50.6947,47.9945,21.7574,54.1474,37.1814,36.3825,38.6749,20.6856,44.4923,45.2798,26.4911,46.9432,31.409,65.9968,67.6755,58.4759
"WNT8B",2.6194,2.4671,0.7637,1.7673,1.7852,1.2354,2.4655,2.8044,1.3215,1.9145,1.0687,2.2849,2.1224,3.9962,2.3641,3.2374
"ZNF638",86.6847,78.8198,88.4415,84.7312,75.1708,81.8262,85.7897,113.8014,79.5523,81.3772,86.9949,71.7706,85.343,70.2026,69.3629,74.4858
"SLC25A40",15.588,10.8844,15.6791,11.9899,11.4849,11.9828,14.0289,18.4181,12.372,12.5865,13.5826,11.8471,13.3958,11.8751,10.0398,10.7514
"TIMM21",16.6098,13.294,16.018,11.5548,16.5062,13.9793,14.4688,15.9351,15.7666,14.2164,11.3833,14.6337,18.7229,14.3007,13.295,13.3557
"ADD2",0.1231,0.0963,0.1088,0.338,0.0118,0.1344,0.1469,0.3226,0.1073,0.0747,0.5013,0.0634,0.0658,0.1651,0.1053,0.0411
"FGF4",0,0,0.1906,0,0,0.0897,0.0706,0.0253,0.0358,0,0.1645,0.1269,0,0,0,0
"RASAL2",21.4328,19.0779,20.1653,22.7999,14.1271,23.436,20.5789,31.3678,23.0526,18.9143,33.9514,17.5237,19.9257,14.0941,14.8143,16.828
"VPS9D1",16.1296,10.8422,12.1265,11.5668,11.1228,14.5294,7.9577,10.0332,10.8582,12.8879,11.5691,12.6472,9.3324,11.782,11.4217,12.1831
"ZNF37A",16.9131,14.659,13.6875,16.6746,12.3984,13.8417,16.9389,22.3733,17.7087,15.6074,16.5114,14.0279,14.2136,15.1062,14.8387,16.1158
"MARK3",22.9258,24.4509,21.1096,29.705,16.143,22.118,21.8093,32.5592,26.3038,22.9508,29.64,20.9292,18.0636,21.2762,22.2909,25.263
"SLC25A3",161.7894,148.2278,160.3586,135.4962,183.7201,135.1961,120.1859,135.2226,148.0349,169.1558,127.0073,170.599,161.4331,160.5362,156.3171,145.2311
"FNDC3B",43.4849,46.6801,45.0669,53.0384,34.3653,41.4199,39.0856,82.1248,44.5367,42.386,63.3879,39.3701,41.0962,37.453,40.2375,41.0434
"FOSL2",55.8054,80.7863,192.9866,124.3196,104.0563,84.0832,60.4788,170.7376,76.3986,156.0471,149.5116,125.0696,65.2615,78.76,140.0662,105.1274
"CACNG5",0.8752,0.2385,0.2526,0.0779,1.0148,0.2862,0.5209,0.0455,0.225,0.4777,0.0394,0.41,0.1362,0.4427,0.3363,0.2051
"CACNG4",0.2612,0.4315,0.2165,0.1379,0.0838,0.5016,0.1247,0.4475,0.3796,0.2937,0.0581,0.0672,0.1058,0.0556,0.2482,0.2179
"FRYL",34.1519,31.4219,36.216,36.5591,27.3471,33.9539,32.3661,57.383,36.3486,30.8873,40.1075,31.1503,32.8829,30.7953,30.1456,27.0962
"TMEM131",29.7683,26.5059,29.3441,27.6137,22.5059,25.3936,25.5853,30.9932,29.7364,28.333,29.3725,21.2868,24.4873,25.3303,27.1436,27.8142
"FSCN1",8.9128,7.5459,12.0911,14.0296,6.1883,13.375,6.1589,17.1652,9.9882,8.2228,14.8952,8.2066,6.5814,6.7871,9.1352,6.0281
"ACTB",822.5218,801.1903,1031.1529,962.0238,694.332,1044.0663,633.0344,1195.1507,881.4684,778.1048,945.5148,675.6394,710.2633,636.8108,759.7824,712.8682
"MOCOS",5.3956,3.2664,9.2971,5.4367,2.3576,4.9377,3.9333,4.1846,3.722,3.3396,3.9163,2.5865,2.4666,3.0031,6.8284,5.0931
"PLD1",21.8274,26.4001,13.1609,18.8447,31.6776,19.8389,23.9559,22.1619,19.9433,25.5586,15.6878,26.8836,29.8584,23.8992,20.7029,15.767
"ATP12A",11.4957,11.2574,10.5187,7.7644,8.5161,37.7618,3.8369,6.3244,7.1985,6.0188,0.3296,7.4789,2.28,9.0077,7.8191,15.8463
"WDR62",0.4981,0.3317,0.4127,0.3777,0.2218,0.5012,0.4248,0.3758,0.4966,0.193,0.5731,0.3437,0.2396,0.4467,0.4984,0.2387
"DLG1",30.4993,29.1103,31.4464,32.1443,26.888,26.1239,28.0176,38.5251,30.5514,31.7608,27.4416,27.8834,30.0896,27.6931,28.7048,27.5456
"RAB7A",51.943,52.3284,34.3552,51.3318,41.3122,44.6554,45.6592,44.6425,48.5214,50.3847,48.5441,41.1137,43.6023,50.5605,54.8082,55.1641
"BCAP29",0.8505,0.9259,0.8579,1.0837,0.5737,0.9754,1.0853,2.2234,1.0477,1.0852,1.2591,0.9994,0.8764,0.7793,1.2015,1.3573
"SEC31B",9.0579,8.39,6.6581,8.6277,5.9783,7.9407,6.6624,7.6289,7.0708,7.5346,7.0888,6.225,5.4964,7.3457,6.5455,9.8201
"SART3",24.4037,21.8547,28.334,24.3874,19.3105,22.68,20.4915,35.0301,25.4355,23.2763,28.4898,23.8703,21.7878,19.0719,20.8425,22.2103
"ARHGAP15",3.8701,4.7416,3.6147,13.5385,3.491,9.0011,5.3951,31.2329,9.7295,2.3533,13.6333,3.185,3.7382,0.9756,4.6153,2.5914
"TUBA3D",2.6464,1.553,1.4801,2.4104,0.8594,2.407,1.7997,3.7229,1.3698,1.6738,2.0539,1.1239,1.3991,2.4082,1.6405,2.5388
"PAX2",37.3101,32.2317,26.4677,33.1045,18.6949,28.0897,24.3728,13.8709,26.3464,29.1222,16.6482,26.2778,17.4403,38.85,29.1393,52.1526
"EXOSC7",25.8536,18.1165,28.9522,20.2726,20.3343,24.9895,18.81,24.7803,20.0871,22.7649,19.7066,20.7976,19.0585,19.0523,16.3232,22.8218
"KIFAP3",38.588,36.7488,39.7986,37.3975,39.9073,35.9157,34.8021,48.4752,36.7908,37.7178,41.992,36.1367,46.665,35.083,36.7451,33.4291
"MKRN2",15.8825,14.3656,17.6703,15.2235,13.9468,13.9434,13.1046,18.6021,16.0099,17.5356,16.4486,16.0073,15.6208,13.6561,16.725,15.1566
"MCM6",13.6824,13.225,15.7346,15.6181,11.3801,13.04,13.6296,22.1799,14.3344,13.2353,16.3472,10.138,13.1322,14.8896,10.344,12.5685
"REXO2",33.0241,33.8217,35.6743,27.33,33.1045,30.271,35.4911,31.0574,30.2736,36.9082,36.04,32.233,40.7043,29.8603,31.1113,29.2139
"RBM7",5.7771,5.893,6.6667,6.5398,4.8638,3.8271,7.2892,11.8348,4.4269,6.1132,7.2518,6.7118,5.4728,5.4709,6.1463,4.8855
"RBMS2",33.2866,31.9611,31.6319,37.7769,18.9184,30.7435,29.0232,47.3605,34.5565,31.2881,35.1813,24.2075,21.5762,28.8125,30.9449,30.2412
"BAZ2A",40.7409,33.8873,28.2261,38.4074,23.2234,29.488,32.1327,33.7215,34.6649,31.7009,32.1718,26.6345,21.8796,36.7856,37.1195,43.3732
"PTPN23",22.1406,20.4566,12.6054,22.3753,12.6864,15.9429,13.2701,13.3101,18.8729,17.5792,17.3967,15.6314,11.284,22.7596,23.1873,26.094
"MLH1",20.6959,18.1337,22.7387,19.0896,17.7221,19.7146,17.1412,24.1313,19.4101,18.4346,20.3994,19.0843,20.611,15.6751,16.234,17.7552
"UNG",55.6392,54.4113,71.3387,37.4956,47.0541,42.9851,37.4297,40.841,45.217,50.8028,36.9696,51.7705,42.9284,40.4924,49.6354,51.9073
"FMO4",164.3488,214.7433,36.5111,111.7651,233.2116,97.9089,116.9172,40.4947,206.6905,162.672,46.5044,173.6624,184.26,170.4056,130.3779,131.6792
"KLHL20",29.1616,38.1767,27.9198,31.5986,32.0079,23.6046,31.278,34.9466,34.1545,35.5367,26.6519,32.2251,34.3282,25.8453,33.2942,36.001
"RGS11",0.7587,1.289,1.2573,1.9915,0.8134,1.5576,1.1638,2.7403,1.4881,1.2064,0.89,0.9038,0.7587,1.4327,1.1491,0.6872
"SLC46A1",6.2108,5.7703,4.8971,4.3082,5.6142,4.2696,3.7908,4.5356,5.5426,4.1283,3.8367,5.0079,5.2251,6.2751,5.847,5.5194
"PLXNA2",19.0576,16.44,10.7245,16.2368,6.7651,13.6515,11.6044,15.5127,15.1273,14.2001,12.0741,14.8492,10.6434,11.9378,12.5952,24.6719
"SPAG5",61.807,68.8695,34.8633,52.0637,63.314,42.7843,72.5664,9.4335,79.3194,81.0424,32.3758,72.5506,61.5965,90.0409,76.2281,79.5459
"ANKRD13A",33.1956,28.1554,64.2858,38.5531,29.673,37.2596,26.3664,53.9261,31.1624,40.4088,46.9753,28.4518,27.5398,26.2415,34.6381,30.6796
"TPD52",18.8413,17.84,17.4412,16.5009,15.7023,9.5093,20.5993,18.074,21.0432,20.1967,11.8804,16.5964,17.866,22.5454,16.7933,18.0997
"ACACB",49.6813,48.9329,55.6799,41.7235,24.8616,44.4387,36.1958,25.6232,46.0594,48.6795,28.241,36.3196,26.8016,39.6235,45.2683,67.9742
"TRAF4",30.566,28.9349,45.1889,31.3968,23.5671,27.1193,27.4323,33.8524,24.5598,29.0215,35.9629,38.2659,25.4404,24.792,29.071,34.5303
"PAG1",6.5101,11.3321,10.8746,14.7814,5.5353,8.7191,8.3818,24.757,13.9622,9.7866,15.014,7.7517,6.433,5.242,10.9471,6.2417
"GPATCH1",13.0089,11.6539,10.7406,12.6077,10.5967,10.9647,12.9775,13.7592,10.6003,11.9164,13.1211,10.4046,10.9628,12.1271,10.2674,11.2797
"ICAM3",0.3357,0.6421,0.3091,1.8909,0.2961,0.4072,0.454,3.3644,1.4227,0.2265,1.2702,0.3745,0.3808,0.1072,0.6698,0.249
"NT5C2",27.6366,30.9495,32.9819,33.3389,24.6746,25.6966,28.2334,36.8514,29.1982,29.9486,32.7724,25.9986,27.5571,21.6435,28.5254,30.8515
"MCAM",16.7731,17.7731,32.4639,37.0471,13.3275,39.9825,15.6282,57.7344,33.6698,17.6687,60.3562,19.6927,21.2847,10.6713,14.0659,10.0065
"GPC4",51.9694,48.3766,24.7631,57.7064,33.5071,35.9388,39.3943,63.8736,41.7768,43.062,111.2945,32.5181,37.8207,41.5256,41.082,49.2685
"MBNL3",21.4244,19.9123,24.8376,16.26,19.8839,17.277,20.2801,29.7177,18.3018,22.1208,18.8858,15.5098,18.1534,23.2342,14.3019,17.8944
"CAMSAP3",24.0839,19.7611,12.8275,19.7501,14.2295,17.5868,14.7253,8.47,18.355,19.0279,12.3901,19.6164,12.3295,24.682,20.9383,30.1998
"RAP1GAP",140.6326,44.2872,161.7046,40.7503,40.9746,86.5755,49.1071,20.7423,58.4285,85.3491,65.6954,47.5286,49.6684,60.9524,45.845,67.872
"XAB2",29.5264,23.0857,23.7432,22.5364,20.0973,24.4574,20.5605,19.4694,21.4827,25.7856,21.9141,26.2859,17.326,25.372,24.1947,29.0513
"ARHGEF1",13.9167,12.1443,13.0303,21.0424,9.3552,15.949,10.9378,20.5722,13.562,11.0567,17.6085,11.7891,8.926,11.529,13.3737,12.7769
"STXBP2",11.2686,9.4913,11.4501,11.0541,9.0518,8.4786,6.6729,8.6465,8.7496,10.0259,9.9736,9.6326,8.4434,10.1342,11.6827,11.643
"MAP2K7",13.1594,10.2176,9.9491,11.1273,9.2774,10.903,9.4491,9.4427,11.4544,10.9849,9.3728,10.7389,8.24,13.3415,13.2565,14.7049
"NMRK2",1.0938,0.4992,0.3021,9.7462,0.9866,2.0727,0.1957,0.7026,2.1852,0.7379,0.4564,0.7742,1.3294,0.5239,0.5455,0.9125
