"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"ANKRD50",18.9137,18.018,17.2488,25.345,15.3718,18.9882,20.8338,36.9774,19.4254,17.1064,31.8332,17.8359,19.9384,16.1702,19.396,18.1059
"UPF2",35.97,26.3324,31.8561,34.3726,26.4291,31.5591,31.9649,48.0798,35.7667,28.5083,38.3779,23.3371,29.5185,29.1033,27.6253,29.5059
"CDC123",34.1241,30.9856,44.1378,36.2401,32.0712,34.8255,31.5553,54.2835,34.1278,31.0059,41.1991,33.6536,39.3722,28.9165,30.6862,27.5238
"SCLT1",7.8175,7.1228,9.9131,9.7326,6.2013,7.2054,8.1414,16.7302,8.1655,8.204,10.5081,7.5031,8.5299,5.9908,7.8131,7.0917
"CCDC3",8.3505,7.6999,10.2274,13.3392,4.1999,17.1088,6.1991,21.2614,10.6929,6.4872,16.1622,3.2783,5.5358,3.9861,4.183,3.5887
"C4orf33",8.3913,4.9186,6.867,7.48,6.8471,7.5111,6.6437,10.3312,7.8517,7.9216,7.0821,6.1819,10.4436,6.618,6.7438,5.6646
"FRMD4A",13.2144,8.9046,10.4096,10.9375,5.9944,13.0758,9.3227,12.3862,11.3054,8.6499,12.1557,8.4212,7.7617,11.7222,8.0532,11.5084
"SLC25A31",0,0.0449,0.0951,0,0.0414,0.0522,0.0822,0.0442,0.0625,0,0.0575,0,0.0837,0.055,0.0491,0
"PTPRO",25.9773,22.9338,6.6119,21.3072,25.8345,7.2954,18.6841,36.3323,14.6435,24.9631,4.1345,24.1231,28.8959,31.9525,13.4963,28.4181
"EPS8",74.6888,89.3528,73.6428,88.518,84.5153,63.6369,77.5097,108.6886,83.6719,82.1265,73.627,94.742,89.7383,72.5142,78.6782,73.1891
"ACAD8",38.8199,35.0147,25.5465,31.5105,41.4406,26.1699,30.9049,21.0978,35.8092,37.1414,26.4442,38.885,37.1479,37.9698,37.7126,36.5276
"THYN1",43.289,34.832,52.7464,37.7854,44.9099,40.7584,38.3316,56.0315,36.4224,35.7608,48.0708,40.5516,44.3803,38.7406,33.3204,33.5748
"VPS26B",24.707,20.5933,20.579,20.6541,18.1549,19.3943,18.1135,21.1946,20.4605,19.8325,21.1277,17.4852,16.5243,20.1011,19.7472,19.9124
"NCAPD3",8.997,7.7742,8.9711,8.5903,6.2804,8.7267,7.825,11.0936,8.8951,7.0324,9.1241,7.1669,7.7983,6.7476,7.7981,7.7983
"VTI1A",23.9842,22.4929,19.2276,22.9643,21.012,18.2263,20.7818,31.2744,21.4048,22.3811,19.9809,20.4684,22.9108,22.6077,21.8292,25.2506
"QDPR",58.3424,81.4039,22.9215,51.2867,82.793,51.3205,63.7265,14.1102,54.9104,78.2582,18.6062,54.3676,80.9895,67.4129,77.0247,91.5664
"FAM160B1",24.8459,28.1599,22.9996,27.4712,24.5822,22.31,25.8945,41.5549,28.1324,25.956,32.2212,21.653,26.9028,23.5601,24.8204,22.9328
"ANO4",2.5392,0.6677,2.5178,1.2858,0.6608,2.1202,1.6687,2.567,1.2928,0.674,1.0422,1.2857,0.8955,0.4586,1.3881,0.3993
"TEX9",8.2298,6.6751,8.7943,7.8002,6.6903,7.5655,8.1904,11.1792,6.7534,7.3634,10.0384,5.5992,7.7212,5.9126,6.2429,6.1435
"QTRT2",11.7638,11.0739,13.7598,14.646,10.1384,11.9685,11.4808,20.5848,11.5105,11.4733,16.0485,13.5009,12.1661,10.774,10.7319,9.9538
"DRD3",0,0.0256,0.0272,0,0.0237,0.0298,0.0235,0.0253,0.0357,0,0.0656,0.0506,0.0239,0.0942,0,0.0273
"MMAA",11.1421,11.1921,9.0739,9.0068,10.2944,9.3692,13.0045,13.7677,11.336,12.0366,11.784,10.0704,11.2673,9.8551,9.6576,9.4866
"ZNF827",13.9662,12.8004,11.6625,12.9443,9.5054,13.1534,14.0973,12.0654,12.007,13.6821,15.6315,11.4647,11.8739,12.9566,12.1415,12.4633
"POU4F2",0.0331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDNRA",6.7486,10.0041,8.8046,10.5931,4.7637,10.1338,9.6093,31.3829,13.0233,13.46,14.9914,8.0345,8.0708,6.9348,4.3854,5.3024
"NR3C2",66.8053,44.7839,67.7848,46.4046,58.5569,67.0354,54.0429,62.5872,54.2217,53.8098,49.5939,44.73,51.4937,55.3994,46.2858,53.9326
"AKR1C2",2.656,2.2167,66.8491,12.0482,2.2883,4.1142,6.5911,7.1968,2.5961,2.9647,3.3047,2.026,2.2889,1.1873,1.6791,1.4771
