"","symbol","correlation","pvalue","t-test","group"
"167","ARHGAP9",0.512051677305858,4.87431536243114e-82,20.7451047828122,"Proteome-Phosphoproteome"
"168","ARHGDIA",0.233200728509525,3.65864011268133e-19,9.07493827312058,"Proteome-Phosphoproteome"
"169","ARHGDIB",0.564321010020372,3.77384009979666e-77,20.5297301400135,"Proteome-Phosphoproteome"
"170","ARHGEF1",0.331845105128159,1.72319405144102e-27,11.1907768454533,"Proteome-Phosphoproteome"
"171","ARHGEF10",0.478138947380178,1.01687967059198e-84,20.8442384715356,"Proteome-Phosphoproteome"
"172","ARHGEF10L",0.408971174055801,3.35026699210543e-43,14.4389625335557,"Proteome-Phosphoproteome"
"173","ARHGEF11",0.411779147740843,4.17024556010408e-59,16.9976538519707,"Proteome-Phosphoproteome"
"174","ARHGEF12",0.519644987672982,2.10030721834417e-105,23.6421375858115,"Proteome-Phosphoproteome"
"175","ARHGEF16",0.633770578756624,2.78329333170634e-147,29.5527957170925,"Proteome-Phosphoproteome"
"176","ARHGEF17",0.670718261805748,5.61621512352924e-196,34.9409414415706,"Proteome-Phosphoproteome"
"177","ARHGEF18",0.426764310213483,1.93098406101769e-61,17.4090240742468,"Proteome-Phosphoproteome"
"178","ARHGEF2",0.672550668302233,1.19046602681777e-210,36.2833577842488,"Proteome-Phosphoproteome"
"179","ARHGEF26",0.371337029465397,6.30473542266699e-35,12.8041027284221,"Proteome-Phosphoproteome"
"180","ARHGEF28",0.443069664136261,9.11506480817474e-55,16.4808772145123,"Proteome-Phosphoproteome"
"181","ARHGEF35",0.181393731028604,8.06681590412918e-08,5.41238878407556,"Proteome-Phosphoproteome"
"182","ARHGEF40",0.413643612532123,1.69924121356188e-60,17.2108165327574,"Proteome-Phosphoproteome"
"183","ARHGEF5",0.583493245437876,3.66426596204097e-126,26.6129952631154,"Proteome-Phosphoproteome"
"184","ARHGEF6",0.588196500724635,7.89114762621478e-151,29.2016789203789,"Proteome-Phosphoproteome"
"185","ARHGEF7",0.286485127592737,7.26466695860426e-32,12.005512382548,"Proteome-Phosphoproteome"
"186","ARID1A",0.560485610142406,1.78221456534854e-120,25.7265741171084,"Proteome-Phosphoproteome"
"187","ARID3A",0.331559985622484,4.30540796946929e-34,12.539052655228,"Proteome-Phosphoproteome"
"188","ARID4A",0.534046153428667,6.03412368869213e-93,22.29703670715,"Proteome-Phosphoproteome"
"189","ARID4B",0.451911412687064,5.01561217342916e-66,18.1950278808848,"Proteome-Phosphoproteome"
"190","ARID5B",0.229748024331856,9.11458961454467e-16,8.15014688691393,"Proteome-Phosphoproteome"
"191","ARL6IP4",0.269859919693301,6.69222708222186e-22,9.80501117833314,"Proteome-Phosphoproteome"
"192","ARL6IP6",0.212166954925951,8.44863260772844e-10,6.20949209323378,"Proteome-Phosphoproteome"
"193","ARMC1",0.174051193275904,1.65257554174659e-09,6.07667012642071,"Proteome-Phosphoproteome"
