"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"RIMS4",1849,1877,3689,3005,3035,3658,343,4346
"PABPC1L",2019,264,531,450,151,180,254,281
"STK4",3949,2711,3629,4107,2158,2693,3248,3062
"SALL4",260,41,29,33,12,27,40,35
"ADNP",5580,4370,5911,4496,2421,4141,4307,4665
"PFDN4",460,344,455,564,441,562,329,591
"DOK5",219,247,629,549,341,302,173,424
"CSTF1",1407,756,977,991,528,764,949,952
"BMP7",992,1706,2216,1982,1400,1445,3226,1521
"RAE1",1660,958,1268,1227,701,1083,800,1311
"TPD52L2",5139,2564,3150,3119,1720,2556,3347,2846
"DNAJC5",9637,7385,11825,10388,6670,10753,3955,12397
"NELFCD",5223,1837,2284,2006,1294,1597,2274,1605
"CTSZ",4852,1499,3017,5372,753,803,1482,705
"PRPF6",7771,3395,4317,4204,2400,3172,4122,3371
"TUBB1",216,56,60,93,102,72,107,47
"PRELID3B",2871,667,968,1221,599,687,1303,754
"HRH3",110,232,454,463,326,470,37,428
"MTG2",631,746,865,925,619,772,893,806
"PSMA7",1405,1645,2530,2958,1669,2040,2208,2403
"SLCO4A1",199,157,316,139,416,358,191,379
"NTSR1",15,20,55,32,24,57,3,86
"MRGBP",426,316,503,441,439,435,403,480
"TCFL5",551,1286,1215,1051,769,873,2162,1144
"DIDO1",3674,3365,4653,4100,2742,3283,3815,3425
"GID8",1456,1684,2589,2267,1443,1897,1829,2081
"SLC17A9",230,109,154,275,47,61,132,62
"BIRC7",10,7,55,80,2,13,3,20
"NKAIN4",161,837,779,808,142,525,728,906
"ARFGAP1",2212,2188,2828,2991,1961,2499,2772,2771
"AVP",0,0,0,0,2,0,0,0
"COL20A1",223,506,341,618,374,379,799,372
"CHRNA4",99,278,558,299,372,593,149,634
"EEF1A2",9318,6056,12752,10308,7787,10408,1115,11397
"PTK6",1491,164,65,62,78,85,353,138
"GMEB2",982,483,836,677,420,529,536,535
"C20orf27",614,545,835,1035,414,551,529,771
"SPEF1",68,71,139,158,243,178,20,264
"CDC25B",6901,1329,1703,1447,905,1013,1316,1077
"ISM1",171,48,102,78,53,109,36,78
"RNF24",2271,1646,2578,1920,1339,1984,943,2372
"ARFRP1",3026,1114,1411,1746,1097,1336,1621,1478
"NDUFAF5",938,793,1122,1203,900,1036,886,1329
"SEL1L2",6,4,8,11,6,11,6,13
"TRIB3",564,117,233,248,124,126,60,142
"RASSF2",6033,18585,12890,12702,6068,12121,37248,8611
"CSNK2A1",3488,4401,5766,5661,3251,4849,4829,5481
"SLC52A3",263,226,288,115,227,193,156,182
"ANGPT4",28,27,36,21,13,37,64,28
