"","01OV007","17OV005","01OV010","14OV029","01OV023","02OV001","01OV039","01OV019","17OV001","17OV004","01OV013","15OV001","11OV010","01OV008","17OV002","11OV002","14OV011","17OV003","01OV017","01OV029"
"AASDHPPT",-0.363422740926918,0.575058838099778,1.55910538992263,-0.209228129984664,1.12006314137073,-0.187896395668599,-0.128077475611227,0.840323246888435,1.7966832196553,-0.0358902034903961,-1.76905923781127,0.409500783912111,-0.380925028840878,-0.695106071687166,-2.41199561578103,0.0358902034903961,-0.68321045918406,0.111508763373738,0.154021919420724,0.765542635520634
"AASS",-0.863822405494838,0.279139248875933,-2.47219507504241,0.523130165252411,0.157239870747506,-0.789066986420511,-0.938312227261493,1.64558047958002,-0.0422792180814453,-0.95062456192368,0.260477112930371,-0.416083509848582,-1.04599612850441,-1.48380136489576,-1.45560813957619,0.547687856834083,0.933002922443649,0.0422792180814448,0.311332411287412,0.940673270935337
"AATF",0.179688634598664,-2.36155973235541,-0.196022479991267,-1.4941278220175,-1.0308242822402,-0.570503430414456,0.783621350285444,-0.452830559092541,1.25080089179706,0.0681290994619102,1.2445403151305,-0.213962092412669,0.318901883528708,-0.841056080575165,1.85499156514574,-0.184720519266759,0.381290844508948,0.139198229085393,1.13818609858923,-0.0681290994619102
"ABAT",-0.932742340205757,1.5161677053257,-0.548319424932847,0.550817920861437,1.22451984246981,0.498679347295786,-1.29763087723736,-0.204210467666258,-0.6858996394252,-1.01188212519954,1.23866419810011,-0.094512007891864,-0.0738953906566646,-1.1721487605897,-0.194549581554857,2.06862217204161,0.892636998222906,1.63471340148096,0.6226676718264,0.0738953906566646
"ABCA1",-0.0422202146312869,-0.753978963763015,0.35221390226381,-0.847034558995035,-0.270244507139682,-0.680029887469108,-0.828849329793564,0.313761352045042,-0.253100615890104,1.4911996394248,1.18407933236445,0.172154785091787,0.226590186934686,0.392266560156033,0.0422202146312869,-0.829532578440107,2.78064500900194,-1.81430080792564,-0.49131087626619,0.647343029536645
"ABCA3",-2.06679083940819,0.225978234808138,0.747356428537932,0.753371094103394,0.193213288190218,-0.0514230212665353,-2.26739250941215,-0.284430268779184,-3.05999808309576,0.124245727541549,0.341659501272593,0.140827974458105,0.215026804616842,0.227296900231762,-0.546460474203288,-0.363093902297764,-0.0126874943486779,0.0126874943486779,-0.352164783311336,-0.138936448204366
"ABCA6",0.123448306023688,0.232684605010827,-1.93697250459425,-2.06455898827332,0.179570431438118,-1.64250275400009,-1.74584219344639,-0.188518214244775,-0.0110552902332707,-1.89076760844137,0.306407477042268,-2.17894868275415,0.062777075055171,0.0995520897178241,0.379494755132861,-1.6363097754986,0.0110552902332707,0.167428396540508,-1.61502367938584,0.0865807272641439
"ABCA8",-0.0187511092863534,-0.498216694925806,0.0187511092863534,0.541017075737986,0.431685224321976,0.0882251334872152,-1.38182711074395,1.97841226089917,1.06015849747932,-0.60573504670817,-0.56829307404656,0.82694740955095,-0.859961294016339,-1.01661727032509,-0.416340343185875,1.12171756644011,0.47867877624394,-0.127591687884794,-1.70868427578466,1.91104292254521
"ABCB10",-0.0880910531103856,1.74139365521825,2.69823501698088,0.0610102482764655,0.710218755558227,-1.31357935323689,-0.821265262518321,-0.545099010094385,0.748548436013399,0.119973196272984,0.228259213242665,0.485956069173827,-0.600327652640883,-0.512509262480932,1.71479791026551,-0.654808822745165,0.825625189281991,-0.0610102482764655,-0.24632769375018,-0.755289987255142
"ABCB4",2.29321616120169,0.0668148376346942,-0.361456304187935,-0.509596628716662,0.0369811909097673,-0.0195482653501987,-0.139535411752781,1.91526034147653,1.83190110377821,1.75138658646503,-0.241256189104459,1.67022229302796,-0.250045139241123,2.00960920296021,-0.501754502510865,-0.0123576145966448,-0.267767341399599,0.0325402036570537,0.0123576145966448,-0.255648858433414
