"","NX035","NX026","NX030","NX020","NX023","NX034","NX031","NX022","NX032","NX025","NX036","NX019","NX029","NX021","NX033","NX027","NX037","NX038","NX028","NX024"
"AAR2",0.723952121435565,0.0415948987335124,1.32382241675618,-1.33179302065066,2.26475750243866,-0.0415948987335124,0.150453324518285,1.03333513163642,-0.311191260754036,-0.191749962900357,-0.49372871640592,0.965495074713943,-0.527165031858354,-1.08324224644083,0.391046160483138,-1.97824251936591,-0.946711377300731,0.388807075648484,0.847725095488486,-0.408403102403199
"AARS",0.15472229371095,0.0406578476981441,-0.883248058776448,1.11163168296318,1.53341127016073,-0.0349153354221157,-1.25017276515614,0.95814070408454,-0.210393317170516,-0.556437332000812,-0.887766336467896,-0.993471491861671,-1.27216330500766,0.0349153354221157,-1.36856809326447,1.40542190031691,-0.391221947178097,0.202060660940916,1.90787548607509,0.836673315493341
"AARS2",-0.23194513358928,0.342047843435088,0.758362607172681,0.992374563553925,-0.497463771208239,-1.48956827824774,0.0978249344823128,0.613233556176146,-2.03234563476583,-0.57290183212392,-0.889771323562231,2.16991652163938,0.902694693724836,0.751730361819477,-1.29986451831092,-1.11393896924222,0.0950005463208518,0.231597020771058,-0.478373562298121,-0.095000546320852
"AARSD1",0.89085555020695,0.778091862261234,0.474745887732898,0.869856113993389,0.311032714786748,-0.346851207736445,-0.564071213178061,-0.697630314385142,-0.909255145217461,-1.66790208428229,-0.0288497586369032,-1.12870587571677,-0.686383612959572,1.00407423473692,0.0535193861697738,0.0288497586369033,0.262691928079758,-0.569678195445034,2.8006864943539,-0.996958646803564
"AASDHPPT",-0.460395584765176,0.083208541982524,-0.0832085419825241,0.326824967858764,1.58841214308875,-1.36389340419902,-2.31357861525694,0.684000237974575,-0.902303341169561,0.100002292867633,1.03856923403303,0.953873946803805,-1.19783509505558,-0.252085932835134,1.37718210104324,-1.29952947074069,0.239922623071223,-0.255545968680272,0.441682952141557,-0.664154221294588
"AASS",-0.516524327046496,-0.424326961115836,0.00629530355346376,-0.00629530355346338,-0.46550427904608,-0.0183271275999858,0.148717021331728,0.519812437179956,-0.0815221867699251,-0.62914832326227,0.295395720126741,3.46047970320223,-0.0746693633472467,0.076104242469497,1.08235474331242,-1.68048822905831,1.15005622582933,0.119221801937182,-0.705956973786011,0.0480764952884274
"AATF",0.773935078846588,2.15977683501533,0.911053200740918,-0.498700628766595,0.40933580709912,0.349625002583928,0.399026988508004,-1.87774506275354,-0.232455712551633,-0.604429648578296,-1.54987958366679,0.701192143180032,0.180486417793315,0.507048433817987,-1.49653088976203,-0.756036127364108,-0.803877631479148,-0.644790887841271,1.11317165134674,-0.180486417793315
"ABAT",-0.0652911577406635,-0.772071320271747,-0.404194739755408,0.831678667004568,0.154926213809515,1.80148710594142,0.0652911577406635,-0.269240697078291,1.94141805292099,-0.367089269545393,1.71487330658184,0.223945980147687,-0.399261360202504,-0.272898273320769,2.24271352585398,-0.50935959528644,1.99834077445979,1.23444513486703,-0.299713301867058,-0.0921785936369984
"ABCA1",-0.0265968101273921,0.207217147961542,0.180606268970862,-2.09628483420052,0.000904748574515807,-0.0732463266615389,-2.15508826151468,0.355040640197834,-0.111165270226118,0.0335057346182347,-2.14843617629672,-2.32018413423856,-0.052447362401225,0.0393798210298876,0.13488229687895,0.263917350167179,-0.000904748574515807,-2.09790544523715,0.0445507997709807,0.0664659034197765
"ABCA2",0.152834403983305,-4.404719247823,0.0196779563447453,0.0365579692032882,-0.153627721967833,-0.453917340719687,0.109948252961847,0.143953236806341,-0.356867190692446,-0.0154308387749844,-0.27983998284485,-0.776057398759957,-0.189887298777527,0.135547108299417,-0.171394631781363,0.116329590018556,0.295403939724993,0.0154308387749844,0.0231518329901029,-0.0530275559206753
