"","blcdb9-I","263d3f-I","c4155b-C"
"ACACA",0.721371564541123,-1.25477616386238,0
"ACACB",0,-1.29449287050642,0.673062678612192
"ACAD10",-0.112861105471107,0,1.6728602782567
"ACAD11",-1.61518500075426,0,0.213868737264238
"ACAD8",0,-0.172367234684197,1.63942269706032
"ACAD9",-0.396067718460658,0,1.49971399360148
"ACADL",0,0.501261505153737,-1.42613776978639
"ACADM",0.307500647765304,-1.55770593139177,0
"ACADS",0.591406951597128,-1.35888963527193,0
"ACADSB",1.55678996542054,0,-0.308942937475741
"ACADVL",0.264453853825232,-1.5846155584068,0
"ACAN",-1.43317522743605,0,0.491512785916755
"ACAP1",-1.68593084986202,0.088822038556578,0
"ACAP2",0.577245099899424,-1.36971730393476,0
"ACAP3",1.1738165487982,-0.81545260366532,0
"ACAT1",0,-1.58820118963454,0.258616240771759
"ACAT2",0.728893840581536,-1.24848064375906,0
"ACBD3",1.01740924730485,0,-0.982489132243815
"ACBD5",0,-1.35623467175687,0.594859740247993
"ACBD6",-0.987001555372015,1.01294236670077,0
"ACBD7",-1.07756731162244,0.920372441627332,0
"ACD",1.1738165487982,-0.81545260366532,0
"ACE",0,1.21080717114691,-0.773167956177071
"ACE2",1.1738165487982,-0.81545260366532,0
"ACIN1",-1.0506266288037,0.948504098012741,0
"ACLY",0.119456978637711,-1.66923001876949,0
"ACO1",0.531502753526691,-1.404017654344,0
"ACO2",1.17586677446728,-0.813138701035891,0
"ACOT1",1.16696693611206,-0.823158322705184,0
"ACOT11",-0.97354694721636,0,1.02622181923786
"ACOT13",1.21317232145242,-0.770424982600631,0
"ACOT2",0,-1.27712395158026,0.694373059845526
"ACOT4",1.67215001898143,-0.114154297316487,0
"ACOT7",0,0.417311968050327,-1.48527082696505
"ACOT8",0,1.39087532597938,-0.549190542815684
"ACOT9",-0.350675287433902,0,1.52988085609102
"ACOX1",1.13063956922358,-0.863400140138833,0
"ACOX2",1.7113187740152,0,-0.0407451200523099
"ACOX3",1.28661632571987,-0.682762658323211,0
"ACP1",0.79673433797622,-1.19031492508144,0
"ACP2",1.72840633766564,0,-0.00726607843753123
"ACP5",0.972801858994713,0,-1.02695375706899
"ACP6",1.37943594180852,-0.564422117696339,0
"ACPP",1.1738165487982,-0.81545260366532,0
"ACSF2",1.02821821537005,-0.971513817618,0
"ACSF3",-1.61832070164433,0,0.208571725891574
"ACSL1",0.0128840507123967,-1.72557284205341,0
"ACSL3",0.799985858849672,-1.18746320201011,0
"ACSL4",0.36903324018911,-1.51779382477931,0
"ACSL5",0,-1.25146657342832,0.725330576207826
"ACSM1",0,-0.364737423665851,1.52063597366656
"ACSM3",-1.59459758248533,0.248140787331329,0
"ACSS1",1.53505961555485,-0.342737719676857,0
"ACSS2",0,-1.12321474685932,0.871498161528715
"ACSS3",1.36508196628258,-0.583323709074106,0
"ACTA1",0.809295556051826,-1.17926526479433,0
"ACTA2",-0.270855951879774,0,1.58066578315327
"ACTB",1.43649053520838,-0.486898378063234,0
"ACTBL2",1.47052497061951,-0.438691190560104,0
"ACTG1",0.861844386659813,-1.13206155255078,0
"ACTG2",0,-0.991152584967184,1.00882139928034
"ACTL6A",1.66810358549595,0,-0.121496647176273
"ACTL6B",1.1738165487982,-0.81545260366532,0
"ACTL8",0.579348076697491,-1.36811571144469,0
"ACTN1",1.25801575622854,-0.717486558491591,0
"ACTN2",1.1738165487982,-0.81545260366532,0
"ACTN3",0,0.7266309592455,-1.25037767175377
"ACTN4",1.61189780312797,0,-0.219399382778185
"ACTR10",1.57437647080979,-0.280989673990534,0
"ACTR1A",1.62731378663814,-0.19326285515301,0
"ACTR1B",1.63074556892677,-0.187374275900928,0
"ACTR2",1.6707536780797,-0.116692806725288,0
"ACTR3",0,-0.563162538247958,1.38038622954607
"ACTR3B",1.7279694592735,0,-0.00813404717266296
"ACTR5",1.6365286620284,-0.177391459793878,0
"ACTR6",1.67553620163031,-0.107977016946334,0
"ACTR8",-1.54938397292552,0.320550899079603,0
"ACVR1",0.527097729779635,-1.40726709967536,0
"ACY1",0.878400022074559,-1.11685591691472,0
"ACY3",1.1738165487982,-0.81545260366532,0
"ACYP1",1.40350895219012,-0.532191213893621,0
"ACYP2",0.954147482816036,-1.04516209307259,0
"ADA",0,-1.40531741674419,0.529742289130982
"ADA2",0,1.24179042627996,-0.736848283585227
"ADAL",0,-1.63697278829147,0.176621674254349
"ADAM10",-1.09310809932348,0.903906571105002,0
"ADAM12",-0.375518000966941,0,1.51348750523295
"ADAM15",-1.71994225238838,0.0239683436434786,0
"ADAM17",-0.318705668006726,1.55056529938352,0
"ADAM8",1.1738165487982,-0.81545260366532,0
"ADAM9",-1.61270868555799,0,0.218037194497826
"ADAMDEC1",1.1738165487982,-0.81545260366532,0
"ADAMTS1",1.1738165487982,-0.81545260366532,0
"ADAMTS12",-0.852734108716293,0,1.14035991766789
"ADAMTS14",1.1738165487982,-0.81545260366532,0
"ADAMTS15",1.1738165487982,-0.81545260366532,0
"ADAMTS16",1.1738165487982,-0.81545260366532,0
"ADAMTS2",1.1738165487982,-0.81545260366532,0
"ADAMTS4",-1.09189171639859,0,0.905201742751456
"ADAMTS5",-1.73061209241359,0.00287385404078389,0
"ADAMTS7",1.1738165487982,-0.81545260366532,0
"ADAMTSL1",-0.959307108942654,0,1.04014820992068
"ADAMTSL2",-1.70088680481246,0,0.0607305973935555
"ADAMTSL4",-0.537539876893541,0,1.39954902403072
"ADAMTSL5",1.69670431905179,-0.0686515701738552,0
"ADAP1",1.70468353734867,0,-0.0534951526969015
"ADAP2",1.69389728582482,-0.0739389663029976,0
"ADAR",0.512581768216227,0,-1.41790890927655
"ADARB1",-1.72566841619123,0.0126949964544292,0
"ADAT1",1.36233817534867,-0.586910571491736,0
"ADAT2",-1.55094283229974,0,0.31811545657837
"ADAT3",-1.05483958225179,0,0.94413893749697
"ADCK1",-1.57415275151234,0.28134879063574,0
"ADCK5",1.47001385809616,-0.439426739897909,0
"ADCY5",1.1738165487982,-0.81545260366532,0
"ADCY6",1.64347128272714,-0.165306205337173,0
"ADCY9",-1.69484009604588,0,0.0721656122754398
"ADD1",0,-1.35832891675046,0.59213681018374
"ADD2",0.30231656579563,-1.56099051920268,0
"ADD3",-1.65625931768535,0,0.142748193636897
"ADGB",0.739114512596178,-1.23987814251489,0
"ADGRA2",-1.60125903185609,0,0.237145572746981
"ADGRE2",0,-1.1889982392714,0.798236458375123
"ADGRE5",1.61673936319054,-0.21124562509284,0
"ADGRF5",0.14073206836632,-1.65739143250596,0
"ADGRG1",1.56427623706602,-0.297111570191957,0
"ADGRG2",1.1738165487982,-0.81545260366532,0
"ADGRG3",1.1738165487982,-0.81545260366532,0
"ADGRG5",-1.5099978937824,0,0.38075180506961
"ADGRG6",-1.67317955343754,0.11227935886785,0
