"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"ABCA5",0.00632847581079747,-0.352843011120602,0.0394429845947188,-0.614911683984997,-0.00632847581079747,-1.59326910996009,1.4096643276702,0.798390902262959,1.86695621866762,-0.185266011906719
"ABCA8",0.393488298146424,-1.04718210120215,0.29199738574163,-0.29199738574163,-1.44016359115321,-0.991427032976487,0.802690116108049,-0.94219554955364,1.09142991110953,1.36277993717473
"ABCB1",-0.532614066221203,-0.395497404085147,0.846602810990202,-1.24062019729886,0.304344703921809,0.401779189418827,0.230022793662535,2.41391989125918,-0.230022793662535,-0.527718438255057
"ABCB10",-0.133090688057135,0.133090688057135,-0.140531185852924,-2.03765244029789,-0.525304473343281,-0.413743670913728,1.06708167546065,1.60833197965966,0.778194935834169,0.211407049858667
"ABCB6",-0.137832125721208,0.356265586298248,0.186608616569875,-0.276456979621768,-0.074190975029483,0.074190975029483,-2.99237068107661,-0.0763448505167154,0.340553997315203,0.383298907623278
"ABCB7",-0.0136183204798642,0.664535845156954,-0.339680612172846,-1.57980441146372,1.19838731863391,-0.000801113048254392,1.87963944841994,0.000801113048254392,-0.467112204700652,1.18188103854955
"ABCB8",0.47244321126169,0.856039110989257,-1.08606067882415,-1.90176513484877,-0.472443211261689,-0.739582361725803,1.05296374629453,0.610943075345544,0.743305731679203,-0.771929172517461
"ABCB9",0.0542470530440817,-0.102634396657194,-2.10195339423172,-2.57221958668659,-0.158891340542876,0.0398112155135237,-0.00385878932935081,0.222282708904726,0.0102641606134243,0.00385878932935081
"ABCC1",-0.367164849819713,0.772977821393223,1.07331242450112,-1.20841957202555,1.46149016531169,0.408347446386566,-1.30409129555715,-0.702138624308477,-1.0255326443539,0.367164849819713
"ABCC10",-2.27318797660772,-1.80781947996808,-1.76944748672017,-0.0493654308916008,0.139986194939323,0.216268352459922,0.228250207168073,-0.0172895741952423,0.117407505413115,0.0172895741952423
"ABCC3",-2.21684293515581,-0.653160454680094,0.702611426469432,0.389995932958651,0.704801500462737,-0.38999593295865,-0.76469575514142,1.07819871200207,0.590183969722052,-0.642814651196915
