"","11BR020","20BR007","11BR047","11BR030","11BR024","05BR029","11BR073","21BR010","11BR074","20BR008","01BR027","18BR003","11BR025","11BR028","11BR017","11BR015","11BR023","11BR006"
"TRMT10A",0.98187769338749,-1.21111797074482,0.844553806313221,0.00148615827535926,0.898581571760842,-1.04492439581803,-0.444823900555857,-0.964262321013503,-1.1236364831224,-1.16652013787368,-0.00148615827535926,-0.333345589388679,1.2077947027722,1.3714926800199,-0.014516306306049,1.82842844725025,1.29341139284167,0.185666218639204
"TRMT10C",-0.344008763374933,1.18489901436113,-0.566932166720708,-1.20448181809565,2.77380031479419,-0.439573282705003,0.326879452566773,0.112031362504086,1.27046070342386,0.853713335199572,0.478690840070778,-1.23357954231322,-0.0521380407534453,-0.14619611150417,0.0521380407534452,-0.1767803770296,-1.30189933060659,0.0760823825101202
"TRMT11",-0.449992729974194,0.984947964086917,-0.489435281908784,0.848102580079208,0.496278874601461,3.67754608473773,-0.0501671949627081,-0.938517563746177,0.0136671212326095,-0.117292856078958,-0.123101706990414,-0.0136671212326097,0.338390214958414,-0.782601720639017,0.0161080529031573,0.500806520234359,-0.1677164087634,0.160091420588802
"TRMT112",-1.37349170055611,0.669049689742609,-1.72479666892461,-0.187518701149077,0.528490096685446,0.316665680725949,1.12290904641505,0.117292792351471,1.90347526736979,-0.863749483723006,1.0096520638856,0.604934584517486,-1.35219880574888,-1.30951424505848,0.472842566853861,-0.117292792351471,-0.652438359718856,-0.343310930106501
"TRMT12",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TRMT13",0.938815457222467,-0.938951636966101,0.923236344602072,-0.955379988755141,1.13532978649035,-0.957614754608883,-0.927996025336795,-0.96836857889306,-0.906261305075636,0.90794340396762,-0.928968307078398,-0.937819456303994,0.906261305075636,1.01590144550064,-0.935511960567621,1.20244239918962,0.932019610585683,1.02535939855401
"TRMT1L",-0.840782602380975,1.11110099818435,-0.342092179358435,1.43371854540365,-1.18179338978642,1.47864834519864,1.19413225522767,0.81718868588577,1.48860463450868,-0.617845409118036,0.826912438195995,0.767040468971995,-0.678910758263093,-0.831195173242138,0.293965359082807,-0.293965359082807,-1.05993260055551,-1.10757094851525
"TRMT2A",1.14166210627999,0.756123327552162,0.645949454792589,-0.0323098611447648,0.206450004990004,-0.428626889374982,-1.20737981637848,-0.479248931812754,0.0153390706733787,-0.528853221414783,0.4460539060798,-1.68377070371906,2.2163910761983,0.528130172560563,-1.08533737427441,-1.67654311647233,0.565342307243687,-0.0153390706733784
"TRMT2B",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TRMT44",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
