,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
TKTL2,0.71,2.22,0.6,1.61,0.91,0.19,1.11,-0.14
TLCD1,NA,-0.5,NA,0.51,-0.74,0.23,NA,NA
TLE1,-0.2,0.43,-0.12,0.08,-0.13,0.13,-0.21,-0.27
TLE2,-0.14,0.23,-0.16,0.47,-0.1,0.13,-0.67,-0.34
TLE3,-0.61,-0.7,-1.1,-0.55,-0.68,-0.28,-0.81,-0.66
TLE4,0.64,-0.3,0.3,0.08,0.83,-0.18,0.32,0.38
TLK1,-0.84,-0.64,-0.41,-0.33,-1.1,-0.38,-1.04,-0.21
TLK2,-0.42,-0.31,-0.27,-0.18,-0.21,-0.02,-0.11,-0.24
TLN1,-0.6,-0.98,-1,-1.03,-0.53,-0.3,-0.61,-0.73
TLN2,0.71,1.12,1.22,1.26,0.51,0.41,0.76,0.78
TLNRD1,0.19,NA,-0.63,0.22,NA,0.29,0.18,0.42
TLR1,NA,0.14,-0.29,-1.38,-0.38,-0.28,0.16,NA
TLR2,-0.86,-0.92,-0.53,-0.91,-0.53,0.32,-0.2,-0.38
TLR3,-0.05,-0.94,-0.89,-1.02,-0.05,-0.77,0.04,0.06
TLR7,-0.47,-0.69,-0.32,-0.81,0.17,-0.41,0.27,-0.48
TM2D1,0.15,-0.13,0.4,-0.16,-0.15,-0.16,-0.05,0.29
TM2D3,0.09,0.65,0.83,-0.03,-0.3,0.26,0.5,-0.07
TM6SF1,0.1,0.25,0.17,-0.4,-0.17,-0.3,0.09,0.19
TM7SF2,0.62,-0.11,-0.03,0.01,0.75,-0.09,0.75,0.82
TM7SF3,-0.36,-0.82,NA,-0.8,-0.76,-0.31,-0.1,-0.28
TM9SF1,-0.45,-1.61,-0.52,-0.99,-1.22,0.53,-0.52,-0.6
TM9SF2,-0.14,-0.15,-0.03,-0.52,-0.31,0.79,-0.41,-0.09
TM9SF3,-0.3,-0.47,-0.14,-0.92,-0.36,0.77,-0.2,-0.36
TM9SF4,-0.62,-0.73,-0.2,-0.66,-1.1,0.49,-0.55,-0.65
TMA16,-1.07,-0.41,-0.53,-0.59,-0.26,-0.48,-0.25,-0.66
TMA7,0.12,0,-0.26,-0.44,1.06,-0.4,0.12,0.02
TMBIM1,0.1,-0.7,-0.82,-0.86,0.47,0.21,0.38,-0.54
TMBIM6,-0.62,-0.72,-2.09,-1.35,-0.31,-0.78,-1.04,-0.42
TMC6,1.03,-0.04,0.82,0.41,1.43,0.79,1.68,1.01
TMC7,0.76,0.29,0.68,0.47,1.7,0.94,1.59,0.38
TMC8,NA,NA,-0.15,NA,NA,NA,NA,NA
TMCC1,0.2,0.43,0.63,0.59,0.22,0.11,0.49,0.2
TMCC2,0.64,1.66,1.81,1.64,1.48,0.76,1.1,0.73
TMCC3,-0.36,-0.53,-0.25,-1,1.43,-0.08,1.27,0.01
TMCO1,-0.41,0.24,-0.33,0.01,0.06,0.16,-0.81,-0.41
TMCO3,-1.08,-0.73,-0.41,-1.4,-0.62,0.51,-0.78,-0.96
TMCO4,0.34,-0.86,0,-0.69,-0.33,-0.59,-0.14,-0.29
TMCO6,NA,0.83,NA,NA,0.46,NA,NA,NA
TMED1,-0.41,-1.01,-0.94,-0.41,-0.66,-0.48,-0.97,-0.52
TMED10,-0.72,-0.63,-0.53,-0.7,-0.86,0.13,-0.66,-0.55
TMED2,-0.96,-0.84,-0.62,-0.59,-0.45,-0.02,-0.48,-0.72
TMED3,-0.16,-0.34,0.1,0.33,-0.11,0.13,0.08,-0.09
TMED4,-0.8,-0.23,-0.51,-0.6,-0.23,0.09,-0.35,-0.76
TMED5,-0.14,-0.34,-0.89,-0.56,-0.23,0.07,-0.22,-0.3
TMED7-TICAM2,-0.37,0.03,-0.3,-0.36,-0.43,0.08,-0.35,-0.28
TMED8,0.57,0.89,0.91,1.07,0.73,0.35,0.45,0.68
TMED9,-1.04,-0.76,-0.86,-1.22,-0.87,-0.19,-0.93,-0.66
TMEFF2,1.27,2.08,2.41,2.28,1.91,0.33,1.82,1.43
TMEM100,-1.01,NA,NA,0.21,NA,-0.78,-0.49,-0.67
TMEM101,0.05,-0.91,NA,-0.12,-1.03,-0.03,-0.59,0.22
TMEM102,NA,-0.29,-0.84,-0.18,0,0.14,-0.2,NA
TMEM104,-0.13,-0.53,-0.13,NA,-0.39,NA,0.8,-0.08
TMEM106B,0.13,0.32,0.27,0.64,-0.06,0.09,0.57,-0.06
TMEM108,NA,NA,0.6,0.3,NA,0.74,NA,NA
TMEM109,-0.26,0.4,0.5,-0.16,0.41,-0.03,-0.21,-0.29
TMEM11,0.78,1.69,1.29,0.99,0.43,0.58,0.34,0.82
TMEM115,-0.57,-0.14,-0.19,-0.08,0.01,-0.38,-0.81,-0.61
