"","C3N-00439","C3L-01955","C3L-01962","C3N-02818","C3N-01803","C3N-00243","C3N-02261","C3N-01903","C3N-00496","C3N-03021","C3L-01279","C3N-01650","C3L-01865","C3L-02212","C3N-01653","C3N-02440","C3N-00958","C3N-01652","C3L-02210"
"ABCC10",2.01173132270518,1.78071216041639,-0.100410048394603,1.80550733962487,-0.102318478116943,-0.00442589182071094,-0.0189229237631211,1.83148258901183,1.98075630578007,1.94197313271563,-0.12789575120797,-0.197952331611871,-0.0946309061268662,1.76383311895991,-0.217667139006746,1.78152019731655,-0.0832030026178383,0,1.72772349060095
"ABCC2",0,0.343275249696538,0.577260695616962,0.251224951990322,-2.07154739575424,0.345658147634897,-0.159499222029665,0.640423446129613,-0.506924952796327,-0.155770433671483,-2.0256715421162,-0.090701754941451,0.029235363790222,0.248087205719967,-0.150891052126059,-0.58278140671265,1.19163121612258,0.548841384375259,-2.6530017720393
"ABCC3",0,-0.161020435836415,-0.283326028644986,0.00609135990893315,0.296024377430415,0.0491435601812053,0.00837968246536641,-0.082635477565045,-0.0973044271880888,-0.0366647215799032,-0.122240898440202,-3.14447702853657,0.070268566904035,0.0213675398291221,-3.17822417997953,0.0352808447266961,-0.061430723179061,0.103627686861734,0.0510893910451213
"ABCC4",1.96043307894624,0.364742186972676,1.09249450326972,0.338221903565805,0,-0.328112037291241,-0.461205161768916,0.900722630215417,-1.45475099371494,-0.666598165174098,-1.45727660963672,-0.45439580824839,0.314505641398101,-1.35783385167746,-0.79056796438919,1.26326270281851,1.0425217744915,1.00617557290812,-0.672405644705524
"ABCC6",0.0466391970366434,0.953083695764155,-0.579109708051865,0.518764651400963,-1.58986313945531,0.289739891775515,-0.324721929853045,1.05307529372236,-0.731669948334538,-0.100834112598874,-1.37066180163662,-0.979902641407532,0.44307143326942,0.0087822993838768,-1.15513206848624,0.226743286159638,0.131217588494268,0,-3.12304271000792
"ABCD1",0.0261195146377927,0.314200478429574,0,0.749775026873956,-0.802371757353675,0.599512112049789,1.46731639580341,0.0275362410426273,-1.02035499601238,-0.978579510300859,-1.69202359045272,-0.999399120665216,-0.637357562212485,-1.82486472994861,-0.220388723559875,0.331648778208741,1.5974555762107,1.41021747748161,-0.289372454203671
"ABCD3",0.414630228826269,0.191684030061283,0.772679120186282,-0.128121198305221,-0.378289906113964,0.320453276151541,0,0.373402930881308,-0.902429256595827,-0.306650194611078,-1.35108242055469,-2.88336761606246,-0.168010808784724,0.167546824078709,-1.28044432938617,0.244640113803716,0.480697569032547,0.502349031972171,-2.36463769771816
"ABCD4",0.0495237272437626,0.185696788977824,0,0.0238152610688656,-0.0374747018028322,0.229609422909278,-0.0487872589449837,0.0826510013644867,-0.0533349039217872,0.0627286967049239,-0.141721306392345,-3.12773558977612,0.0456525022065179,0.00543880908531637,-3.15827352726715,0.0286396606128089,-0.0124150829593162,-0.0766392755289933,-0.0625348630034647
"ABCE1",-1.19172729590258,0.414170648662373,0,-0.069154410938442,1.93244889673551,0.202842115902524,0.599177937036105,-1.99916886642825,0.0221596000121049,-0.723008646168294,0.329080949702639,0.221075026809766,-0.49986224562351,0.410261698093357,-1.6584657043808,-0.802755275501542,-0.0754281962434201,-0.0348003146004972,1.95479490424358
"ABCF1",0,-0.862643110121016,-0.422040188392535,0.17625872134196,2.09151664907553,-0.253201817607709,0.493176832096725,-1.08856174774803,-0.25099808406677,-1.69319773674306,0.367538573929163,1.03308971886267,-0.594554766627047,-2.28631156677424,0.124915304242965,0.342553322450546,0.523244324452274,-0.499473767050185,0.991287784369129
"ABCF2",-0.782927146891176,-0.388563085960191,0,1.04415244874991,2.18057638410002,0.526293868641852,-0.695590202289044,-0.199745500062636,-0.13251718073695,-1.09341803758337,1.66974250955559,1.79268162211296,1.05097196013972,-0.627758440253225,1.00549567729649,0.673328043656685,-0.144080645169661,-0.754916869435068,1.44705971850518
"ABCF3",1.72027638350541,1.67915752680373,0.386912087243662,-0.375956639715008,-0.785093862032953,0,-0.0721746364367952,1.14943119577645,0.351583176843697,0.933071649864503,-0.44330700020304,-1.12875315933891,0.633109926770958,-0.181528078654244,-0.863601214652634,0.684599936492792,0.623299395387351,-0.476995386425507,-2.31924527869416
"ABCG1",1.3209079099923,-1.13592228572969,-1.76939225348937,-0.51833692346666,2.41158662776115,0.0867066478735246,0,-0.586574899925064,0.935161897570107,0.886115182822611,-0.984247371502549,-0.151807824020682,-0.174344176108579,-1.03662732109642,0.401855047107743,0.788887350304198,0.868532689280631,-0.320264885918704,0.306173162697137
"ABHD10",0.693785960750352,0.0997902403243163,-0.19152000323969,-0.260209137556146,-1.06742471494161,0.380659285709209,0.00975221352720971,0.99874369968338,-0.13025931647191,-0.0288257208359264,-0.46556344171397,-2.79840369966135,0.421874360547993,0.128502269254546,-0.977804845814891,0.262014982266691,0,0.66164483024257,-2.57526064498228
"ABHD11",0.428646290473857,0.838652306836079,0,-0.773569943840821,-0.900881550546156,-1.10202337756034,-0.0787492140259907,1.7522458039688,0.395085907138011,-0.731959432841292,0.0988503613152879,-1.62556475256782,1.28047769266686,0.371251086215515,1.42065147420824,0.274590237346761,-0.22048236757553,-0.12692091518962,-2.03979762371678
"ABHD12",0.9764802746558,-1.38080211851744,0,-0.944922690273889,1.16249957162673,-0.566590451164195,-0.179301802794824,1.42556404907415,-0.834284474165543,0.930941056944051,-0.861919729385899,1.56391408091651,0.512920788097015,-0.0703637436843526,1.37166195761821,1.52213885978325,-1.23450024612598,-0.124077604667878,0.786660836486803
"ABHD14B",0.148284693824867,0.103190689827398,0.443311879946082,-2.75906826677156,-1.79122104153107,0.356130695998266,0,0.545438290267525,-0.541271142984036,0.0842053404371215,-0.736187392710941,-1.93636516716624,-0.00202905953814836,0.00257425056446879,-0.887969153062633,0.351969773744129,-1.48551449978483,0.092471605816332,-2.02765188970354
"ABHD16A",0.232895047296205,1.15082979078636,-0.193281867087116,0.199794160675716,1.11747950700868,0.0336084234462978,-0.354344176206169,1.43838612921549,-0.105559850242403,-0.448845015059508,-1.62785584258308,-1.32823036103515,-0.315399463172972,0.502348846975868,0,1.12272795451038,2.21684021296655,-0.701570947205223,-1.26552904921495
"ABHD17B",0.131534106236092,0.190285457598123,-2.62522286242249,-0.124784442548393,-0.063280258929398,0.0510404381333693,0,-0.150157667806238,0.0617988027864443,0.158876501473523,-2.66473586365695,0.0102009337898065,-2.61691486109141,0.0547829236103846,-0.041194178833362,-0.0191798250750277,0.133774714423712,0.0105011486340258,-0.0380684445193337
"ABHD4",1.16015936543571,0.0608999734359105,-0.127072537958333,-0.680458888420384,-0.630692083173021,2.0350707100237,1.5692740559281,-0.787103865274375,0.921573869915437,0.432985765021898,-0.449654619199451,-0.802957274485066,-1.19305108759746,1.0911123517795,1.39535232118616,-0.798532583385847,0,0.00553505078535928,-1.28849356524947
"ABHD6",0.459561679122725,0.921985354591286,0.0848303347747418,0,-1.28917754643839,0.675272631847602,-0.0562681059272636,0.562114298267092,-0.430515645414106,-0.0213136484724024,-0.838267903441089,-2.19172985512444,-0.134132703859328,0.974482944042068,-1.37937456230419,0.295818310550711,0.901118215293838,0.433365861671097,-2.33249183241981
"ABI1",-0.524750107138436,0.0773350018505909,2.41424980122927,-0.72059113653839,0,-0.622534482635538,0.372363510952661,-0.183252933671095,1.09034501013764,-0.713260953370181,1.14543334715562,2.31259340023948,0.00262870059836668,-0.0643396257377483,1.20693177831581,-0.453454249914529,-0.731315663028661,-0.537225871436693,1.19227628474507
"ABI2",0,1.13282550389059,-0.833895000119298,-0.621879561644397,-2.28826302585553,1.51605654222272,1.07183094426481,-0.677831853470104,0.582334520709405,-0.57012419035904,1.62407363320323,0.924140898331078,-0.189455398048645,-0.22748585434475,0.882908994553426,-0.781222301811731,-0.833895000119298,0.492236658220279,0.100698589952676
"ABI3",-0.00739916920694607,-0.86067715808125,-1.20633674576277,-0.725844013052925,1.34237379021261,0.611003913734278,1.87806537775555,-0.378701389165696,0.188490309143297,-0.0350171649868304,0.497567920114922,2.11342928777241,-0.463622216840609,0.215870261177944,1.24003309600876,-0.158233408922711,-1.38815358054936,0,1.36790510962885
"ABI3BP",-0.729340956129723,-0.394538973757969,0.0311577718094004,0.665365323150884,0.290663278156068,-0.345474553982517,-0.550643212564302,-0.100033951731759,0,-0.0597028550066666,1.27856891632458,2.3668583722597,-0.00308098506877735,1.07333702687573,0.469235773881698,0.0505141378627007,-0.254553270212886,-0.887353960563631,2.94690243002762
"ABL1",-0.831144484807546,0.931874764915439,-0.91856138555514,0,-0.357496079349131,1.16040221389699,1.93839699588688,1.24562910075496,-0.556868434875573,-1.65298963015777,-0.348469372716526,-0.27384126254409,0.0133278947457115,0.0883850713969634,-0.0187922801748517,1.22820024486564,-0.131985880163625,2.17546851633964,0.467067744116582
"ABLIM1",0.451687351435935,0.0724331690943318,-1.15668716537642,-1.58792400412811,0.677872002789828,0,0.219480975533123,-1.39254787900458,-0.219172693449299,-0.622954154092307,0.715818603004891,0.154170460551275,-0.526550916202447,0.236538378850646,2.34813047894132,0.202702741794477,-0.745821418151672,-1.53948899401021,-1.64185999887407
"ABLIM2",-2.61305801069128,0.0659403955035895,-0.0421026237233409,0.0494037147412773,-0.0154944481673131,0.0230818082965858,0.0287736261759853,-0.0320991439834627,-2.62941748213681,-2.64441583103958,0.0524269496622167,0.179622207947233,-0.00234077665552048,0.105133342925705,-0.165936979413341,-0.0266705163697429,0,0.123755291832878,0.167172943085313
"ABLIM3",0.585892469750829,0.319346501407282,0,-0.0455694896183377,-1.92457802661342,0.0950993020736755,0.117480061026091,0.555008731455614,-0.355362728936259,0.155456523664355,-1.32905147791537,-0.0995986239069085,0.467076719611277,-0.0626226671484402,-1.31017427245509,-0.00516989989557789,1.29402134762115,1.16537256711234,-2.66594358726469
"ABR",-0.0821042948988915,-1.26999510869647,0.586749963798211,1.28749065421862,1.0016869663478,-0.925872815725646,-0.981432431202569,0,0.597694353427253,0.0265186225269091,0.581013990167009,2.31220752552281,-0.776743619838756,-0.1871629025488,0.384636014005727,-0.702120367224615,-0.354767488667616,-0.922933556810566,1.89100402995879
"ABRACL",0.752728844624479,-1.21142761379399,1.61804246951092,0.535824488821955,-0.962298462645865,0,-0.0647466108042163,-0.667408362323624,1.04199632259734,0.758528296007003,-0.251065302910948,-0.271351971843826,-0.242211527082869,-0.289454265677614,-2.70390623104516,0.470344661583898,1.18484996136529,0.371490930943603,0.845386853908448
"ABRAXAS1",0.0921716518973963,-0.261145462231423,-0.461324855970485,0.115298780325655,-1.33246293369756,-1.38140596588791,0.0104643494714667,-1.56055153853767,-0.49525548838333,0.028702149315528,1.10985348424111,2.05183507836956,-0.48836707074565,0.593068323942417,1.23616747994904,0,-0.184805207670525,-0.326402891947956,1.911498420844
"ABRAXAS2",0.735080383104152,-0.0892708672971393,-0.186106202376865,0.0656696689480229,-3.27199160970653,0.204538760110672,1.13947954712595,0.64727686386136,-0.285911417353563,0.752823950044941,0,-0.436708597701706,-0.275658036916814,-0.715157341213111,0.221475322665365,0.750577374352148,-1.23927312035057,0.453593663698928,-1.2550263488934
